"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","hab","redlist","status","gisd","ecoregion"
"39",403211,403211,767747,"Infraorder","Anomura","MacLeay, 1838",106671,24,2,"Arthropoda","Decapoda",NA,NA,NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"40",403212,403212,781281,"Genus","Anonyx","Krøyer, 1838",101592,3,3,"Arthropoda","Amphipoda","Uristidae","Anonyx",NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"41",403690,403690,737630,"Genus","Anthomastus","Verrill, 1878",125285,1,1,"Cnidaria","Alcyonacea","Alcyoniidae","Anthomastus",NA,"Anthozoa",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"42",403927,403927,660005,"Genus","Antinoella","Augener, 1928",146498,7,2,"Annelida","Phyllodocida","Polynoidae","Antinoella",NA,"Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"43",404260,404260,740570,"Genus","Apherusa","Walker, 1891",101509,5,2,"Arthropoda","Amphipoda","Calliopiidae","Apherusa",NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"44",405225,405225,741733,"Class","Arachnida","Cuvier, 1812",1300,1,1,"Arthropoda",NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"45",405314,405314,774917,"Genus","Araphura","Bird & Holdich, 1984",136206,1,1,"Arthropoda","Tanaidacea","Tanaellidae","Araphura",NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"46",405685,405685,405684,"Species","Arctogadus borisovi","Dryagin, 1932",272297,3,2,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus borisovi","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"47",405686,405686,405684,"Species","Arctogadus glacialis","(Peters, 1872)",126432,19,5,"Chordata","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"48",405688,405688,767398,"Species","Arctolembos arcticus","(Hansen, 1887)",102014,1,1,"Arthropoda","Amphipoda","Aoridae","Arctolembos","Arctolembos arcticus","Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"49",405890,405890,428222,"Genus","Argis","Krøyer, 1843",107006,2,1,"Arthropoda","Decapoda","Crangonidae","Argis",NA,"Malacostraca",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"50",406430,406430,406428,"Species","Artacama proboscidea","Malmgren, 1866",131482,23,3,"Annelida","Terebellida","Terebellidae","Artacama","Artacama proboscidea","Polychaeta",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"51",406448,406448,743064,"Genus","Artediellus","Jordan, 1885",126147,1,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus",NA,"Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"52",406459,406459,406448,"Species","Artediellus scaber","Knipowitsch, 1907",127194,94,4,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus scaber","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"53",406460,406460,406448,"Species","Artediellus uncinatus","(Reinhardt, 1834)",127195,1,1,"Chordata","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"54",406862,406862,781619,"Genus","Aspidophoroides","Lacepède, 1801",159458,1,1,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides",NA,"Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"55",406868,406868,406862,"Species","Aspidophoroides olrikii","Lütken, 1877",309268,68,10,"Chordata","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides olrikii","Actinopteri",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
"56",407010,407010,739018,"Species","Astarte borealis","(Schumacher, 1817)",138818,17,3,"Mollusca","Carditoida","Astartidae","Astarte","Astarte borealis","Bivalvia",NA,NA,NA,NA,"Beaufort Sea - continental coast and shelf"
