"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"39",429550,429550,618144,"Species","Cubiceps caeruleus","Regan, 1914",273675,2,1,"Chordata","Perciformes","Nomeidae","Cubiceps","Cubiceps caeruleus","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"40",429687,429687,696859,"Species","Culicia stellata","Dana, 1846",288363,24,4,"Cnidaria","Scleractinia","Rhizangiidae","Culicia","Culicia stellata","Anthozoa",NA,NA,NA,"Juan Fernandez and Desventuradas"
"41",430385,430385,696894,"Species","Cyclothone acclinidens","Garman, 1899",127282,2,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone acclinidens","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"42",430386,430386,696894,"Species","Cyclothone alba","Brauer, 1906",127283,6,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone alba","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"43",430392,430392,696894,"Species","Cyclothone microdon","(Günther, 1878)",127286,2,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone microdon","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"44",430399,430399,696894,"Species","Cyclothone pseudopallida","Mukhacheva, 1964",127289,2,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone pseudopallida","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"45",430401,430401,696894,"Species","Cyclothone signata","Garman, 1899",154831,2,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata","Actinopteri",NA,NA,NA,"Juan Fernandez and Desventuradas"
"46",432492,432492,778801,"Species","Decipisagitta decipiens","(Fowler, 1905)",370469,1,1,"Chaetognatha","Aphragmophora","Sagittidae","Decipisagitta","Decipisagitta decipiens","Sagittoidea",NA,NA,NA,"Juan Fernandez and Desventuradas"
"47",432605,432605,432585,"Species","Deltocyathus parvulus","Keller, 1982",286801,6,4,"Cnidaria","Scleractinia","Deltocyathidae","Deltocyathus","Deltocyathus parvulus","Anthozoa",NA,NA,NA,"Juan Fernandez and Desventuradas"
"48",432658,432658,496656,"Class","Demospongiae","Sollas, 1885",164811,5,1,"Porifera",NA,NA,NA,NA,"Demospongiae",NA,NA,NA,"Juan Fernandez and Desventuradas"
