"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"45",420653,420653,420623,"Species","Cheilopogon xenopterus","(Gilbert, 1890)",272166,2,1,"Chordata","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon xenopterus","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"46",420876,420876,743298,"Family","Cheloniidae","Oppel, 1811",136999,24,5,"Chordata","Testudines","Cheloniidae",NA,NA,"Reptilia",NA,NA,NA,"Cocos Islands"
"47",421114,421114,421106,"Species","Chilomycterus reticulatus","(Linnaeus, 1758)",219964,1,1,"Chordata","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus reticulatus","Actinopteri",NA,NA,NA,"Cocos Islands"
"48",422110,422110,422102,"Species","Chromis alta","Greenfield & Woods, 1980",273710,1,1,"Chordata","Perciformes","Pomacentridae","Chromis","Chromis alta","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"49",422419,422419,768905,"Genus","Chrysogorgia","Duchassaing & Michelotti, 1864",125294,1,1,"Cnidaria","Alcyonacea","Chrysogorgiidae","Chrysogorgia",NA,"Anthozoa",NA,NA,NA,"Cocos Islands"
"50",422824,422824,422804,"Species","Cirolana harfordi","(Lockington, 1877)",256526,1,1,"Arthropoda","Isopoda","Cirolanidae","Cirolana","Cirolana harfordi","Malacostraca",NA,NA,NA,"Cocos Islands"
"51",423240,423240,423239,"Species","Cladocora arbuscula","(Le Sueur, 1820)",286778,4,2,"Cnidaria","Scleractinia","Scleractinia incertae sedis","Cladocora","Cladocora arbuscula","Anthozoa",TRUE,"LC",NA,"Cocos Islands"
"52",423245,423245,423239,"Species","Cladocora pacifica","Cairns, 1991",286779,16,3,"Cnidaria","Scleractinia","Scleractinia incertae sedis","Cladocora","Cladocora pacifica","Anthozoa",NA,NA,NA,"Cocos Islands"
"53",427366,427366,743008,"Species","Coryphaenoides anguliceps","(Garman, 1899)",272316,2,2,"Chordata","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides anguliceps","Actinopteri",NA,NA,NA,"Cocos Islands"
"54",429038,429038,799828,"Genus","Crypthelia","Milne Edwards & Haime, 1849",117241,3,3,"Cnidaria","Anthoathecata","Stylasteridae","Crypthelia",NA,"Hydrozoa",NA,NA,NA,"Cocos Islands"
"55",429388,429388,429381,"Species","Ctenochaetus marginatus","(Valenciennes, 1835)",219657,8,2,"Chordata","Perciformes","Acanthuridae","Ctenochaetus","Ctenochaetus marginatus","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"56",429559,429559,618144,"Species","Cubiceps pauciradiatus","Günther, 1872",159424,4,1,"Chordata","Perciformes","Nomeidae","Cubiceps","Cubiceps pauciradiatus","Actinopteri",NA,NA,NA,"Cocos Islands"
"57",431630,431630,431629,"Species","Cytaeis tetrastyla","Eschscholtz, 1829",117506,1,1,"Cnidaria","Anthoathecata","Cytaeididae","Cytaeis","Cytaeis tetrastyla","Hydrozoa",NA,NA,NA,"Cocos Islands"
"58",431895,431895,431894,"Species","Dactyloscopus amnis","Miller & Briggs, 1962",276393,1,1,"Chordata","Perciformes","Dactyloscopidae","Dactyloscopus","Dactyloscopus amnis","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"59",431904,431904,431894,"Species","Dactyloscopus pectoralis","Gill, 1861",276404,9,2,"Chordata","Perciformes","Dactyloscopidae","Dactyloscopus","Dactyloscopus pectoralis","Actinopteri",TRUE,"LC",NA,"Cocos Islands"
"60",432575,432575,432573,"Species","Delphinus delphis","Linnaeus, 1758",137094,24,12,"Chordata","Cetartiodactyla","Delphinidae","Delphinus","Delphinus delphis","Mammalia",TRUE,"LC",NA,"Cocos Islands"
"61",433185,433185,769806,"Species","Dermochelys coriacea","(Vandelli, 1761)",137209,25,1,"Chordata","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","Reptilia",TRUE,"VU",NA,"Cocos Islands"
"62",433369,433369,433364,"Species","Desmophyllum dianthus","(Esper, 1794)",135159,10,4,"Cnidaria","Scleractinia","Caryophylliidae","Desmophyllum","Desmophyllum dianthus","Anthozoa",NA,NA,NA,"Cocos Islands"
