"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"47",421114,421114,421106,"Species","Chilomycterus reticulatus","(Linnaeus, 1758)",219964,NA,NA,2,1,"Chordata","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus reticulatus","Actinopteri","Magdalena Transition"
"48",423000,423000,776322,"Species","Cirriemblemaria lucasana","(Stephens, 1963)",280198,TRUE,"LC",2,1,"Chordata","Perciformes","Chaenopsidae","Cirriemblemaria","Cirriemblemaria lucasana","Actinopteri","Magdalena Transition"
"49",423134,423134,742128,"Species","Citharichthys fragilis","Gilbert, 1890",275687,TRUE,"LC",8,3,"Chordata","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys fragilis","Actinopteri","Magdalena Transition"
"50",423135,423135,742128,"Species","Citharichthys gilberti","Jenkins & Evermann, 1889",275688,TRUE,"LC",10,2,"Chordata","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys gilberti","Actinopteri","Magdalena Transition"
"51",423148,423148,742128,"Species","Citharichthys xanthostigma","Gilbert, 1890",275699,NA,NA,4,2,"Chordata","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys xanthostigma","Actinopteri","Magdalena Transition"
"52",423855,423855,775198,"Species","Cleantioides occidentalis","(Richardson, 1899)",259811,NA,NA,1,1,"Arthropoda","Isopoda","Holognathidae","Cleantioides","Cleantioides occidentalis","Malacostraca","Magdalena Transition"
"53",425277,425277,778569,"Species","Collosphaera tuberosa","Haeckel, 1887",367318,NA,NA,2,1,"Radiozoa","Nassellaria","Collozoidae","Collosphaera","Collosphaera tuberosa","Polycystina","Magdalena Transition"
"54",425675,425675,767678,"Species","Conchoderma auritum","(Linnaeus, 1767)",106146,NA,NA,1,1,"Arthropoda","Lepadiformes","Lepadidae","Conchoderma","Conchoderma auritum",NA,"Magdalena Transition"
"55",426735,426735,742880,"Species","Coralliozetus angelicus","(Böhlke & Mead, 1957)",280393,TRUE,"LC",2,2,"Chordata","Perciformes","Chaenopsidae","Coralliozetus","Coralliozetus angelicus","Actinopteri","Magdalena Transition"
"56",427061,427061,767695,"Species","Coronula diadema","(Linnaeus, 1767)",106236,NA,NA,1,1,"Arthropoda","Sessilia","Coronulidae","Coronula","Coronula diadema",NA,"Magdalena Transition"
"57",427063,427063,767695,"Species","Coronula reginae","Darwin, 1854",173669,NA,NA,1,1,"Arthropoda","Sessilia","Coronulidae","Coronula","Coronula reginae",NA,"Magdalena Transition"
"58",429456,429456,429430,"Species","Ctenogobius sagittula","(Günther, 1862)",276489,TRUE,"LC",6,2,"Chordata","Perciformes","Gobiidae","Ctenogobius","Ctenogobius sagittula","Actinopteri","Magdalena Transition"
"59",430265,430265,430262,"Species","Cyclopsetta panamensis","(Steindachner, 1876)",275702,TRUE,"LC",2,1,"Chordata","Pleuronectiformes","Paralichthyidae","Cyclopsetta","Cyclopsetta panamensis","Actinopteri","Magdalena Transition"
"60",430385,430385,696894,"Species","Cyclothone acclinidens","Garman, 1899",127282,NA,NA,23,1,"Chordata","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone acclinidens","Actinopteri","Magdalena Transition"
"61",430894,430894,430911,"Genus","Cymothoa","Fabricius, 1793",118409,NA,NA,1,1,"Arthropoda","Isopoda","Cymothoidae","Cymothoa",NA,"Malacostraca","Magdalena Transition"
"62",431044,431044,431031,"Species","Cynoscion parvipinnis","Ayres, 1861",276085,TRUE,"DD",29,2,"Chordata","Perciformes","Sciaenidae","Cynoscion","Cynoscion parvipinnis","Actinopteri","Magdalena Transition"
"63",431050,431050,431031,"Species","Cynoscion squamipinnis","(Günther, 1867)",276090,TRUE,"LC",1,1,"Chordata","Perciformes","Sciaenidae","Cynoscion","Cynoscion squamipinnis","Actinopteri","Magdalena Transition"
