"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","ecoregion"
"2667",853176,853176,740125,"Species","Brachyhypopomus provenzanoi",NA,NA,4,1,"Chordata","Gymnotiformes","Hypopomidae","Brachyhypopomus","Actinopterygii","Brachyhypopomus provenzanoi",NA,NA,NA,"Guianan"
"2668",853184,853184,854803,"Species","Thayeria ifati",NA,NA,3,2,"Chordata","Characiformes","Characidae","Thayeria","Actinopterygii","Thayeria ifati",NA,NA,NA,"Guianan"
"2669",853189,853189,851808,"Species","Krobia itanyi",NA,NA,10,2,"Chordata","Perciformes","Cichlidae","Krobia","Actinopterygii","Krobia itanyi",NA,NA,NA,"Guianan"
"2670",853193,853193,854140,"Species","Hemiodopsis gracilis",NA,NA,2,2,"Chordata","Characiformes","Hemiodontidae","Hemiodopsis","Actinopterygii","Hemiodopsis gracilis",NA,NA,NA,"Guianan"
"2671",853195,853195,756602,"Species","Poptella orbicularis",NA,NA,4,3,"Chordata","Characiformes","Characidae","Poptella","Actinopterygii","Poptella orbicularis",NA,NA,NA,"Guianan"
"2672",853202,853202,748603,"Species","Hypostomus gymnorhynchus",NA,NA,3,2,"Chordata","Siluriformes","Loricariidae","Hypostomus","Actinopterygii","Hypostomus gymnorhynchus",NA,NA,NA,"Guianan"
"2673",853209,853209,854123,"Species","Nannacara anomala",NA,NA,7,2,"Chordata","Perciformes","Cichlidae","Nannacara","Actinopterygii","Nannacara anomala",NA,NA,NA,"Guianan"
"2674",853212,853212,758220,"Species","Roeboides dientonito",NA,NA,16,2,"Chordata","Characiformes","Characidae","Roeboides","Actinopterygii","Roeboides dientonito",NA,NA,NA,"Guianan"
"2675",853215,853215,737856,"Species","Amblydoras affinis",NA,NA,27,2,"Chordata","Siluriformes","Doradidae","Amblydoras","Actinopterygii","Amblydoras affinis",NA,NA,NA,"Guianan"
"2676",853218,853218,747982,"Species","Heptapterus brevior",NA,NA,2,1,"Chordata","Siluriformes","Heptapteridae","Heptapterus","Actinopterygii","Heptapterus brevior",NA,NA,NA,"Guianan"
"2677",853239,853239,747921,"Species","Hemigrammus levis",NA,NA,8,2,"Chordata","Characiformes","Characidae","Hemigrammus","Actinopterygii","Hemigrammus levis",NA,NA,NA,"Guianan"
"2678",853249,853249,746743,"Species","Geophagus surinamensis",NA,NA,23,3,"Chordata","Perciformes","Cichlidae","Geophagus","Actinopterygii","Geophagus surinamensis",NA,NA,NA,"Guianan"
"2679",853262,853262,747337,"Species","Gymnotus carapo",NA,NA,50,3,"Chordata","Gymnotiformes","Gymnotidae","Gymnotus","Actinopterygii","Gymnotus carapo",NA,NA,NA,"Guianan"
"2680",853272,853272,759110,"Species","Serrasalmus serrulatus",NA,NA,14,2,"Chordata","Characiformes","Characidae","Serrasalmus","Actinopterygii","Serrasalmus serrulatus",NA,NA,NA,"Guianan"
"2681",853286,853286,760150,"Species","Sternarchorhynchus oxyrhynchus",NA,NA,3,2,"Chordata","Gymnotiformes","Apteronotidae","Sternarchorhynchus","Actinopterygii","Sternarchorhynchus oxyrhynchus",NA,NA,NA,"Guianan"
"2682",853292,853292,742043,"Species","Cichlasoma taenia",NA,NA,14,2,"Chordata","Perciformes","Cichlidae","Cichlasoma","Actinopterygii","Cichlasoma taenia",NA,NA,NA,"Guianan"
"2683",853302,853302,748572,"Species","Hyphessobrycon copelandi",NA,NA,1,1,"Chordata","Characiformes","Characidae","Hyphessobrycon","Actinopterygii","Hyphessobrycon copelandi",NA,NA,NA,"Guianan"
