"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"41",396794,396794,772198,"Genus","Acineta","Ehrenberg, 1834",172365,3,1,"Ciliophora","Endogenida","Acinetidae","Acineta",NA,"Phyllopharyngea",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"42",396806,396806,396804,"Species","Acipenser brevirostrum","Lesueur, 1818",157869,54,7,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser brevirostrum","Actinopteri",TRUE,"VU",NA,NA,"Gulf of Maine_Bay of Fundy"
"43",396813,396813,396804,"Species","Acipenser oxyrinchus","Mitchill, 1815",151802,52,10,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus","Actinopteri",TRUE,"NT",NA,NA,"Gulf of Maine_Bay of Fundy"
"44",396847,396847,737193,"Species","Aclis walleri","Jeffreys, 1867",138686,2,2,"Mollusca","Littorinimorpha","Aclididae","Aclis","Aclis walleri","Gastropoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"45",396851,396851,396867,"Genus","Acmaea","Eschscholtz, 1833",137616,18,1,"Mollusca",NA,"Acmaeidae","Acmaea",NA,"Gastropoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"46",396984,396984,396983,"Species","Acrochaetium alariae","(Jónsson) Bornet, 1904",144326,1,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium alariae","Florideophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"47",397031,397031,396983,"Species","Acrochaetium savianum","(Meneghini) Nägeli, 1862",144386,1,1,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium savianum","Florideophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"48",397032,397032,396983,"Species","Acrochaetium secundatum","(Lyngbye) Nägeli, 1858",144387,5,2,"Rhodophyta",NA,"Acrochaetiaceae","Acrochaetium","Acrochaetium secundatum","Florideophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"49",397355,397355,597075,"Species","Acrosiphonia arcta","(Dillwyn) Gain, 1912",144407,3,1,"Chlorophyta","Ulotrichales","Ulotrichaceae","Acrosiphonia","Acrosiphonia arcta","Ulvophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"50",397362,397362,597075,"Species","Acrosiphonia sonderi","(Kützing) Kornmann, 1962",144412,8,2,"Chlorophyta","Ulotrichales","Ulotrichaceae","Acrosiphonia","Acrosiphonia sonderi","Ulvophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"51",397426,397426,737307,"Species","Acrothrix gracilis","Kylin, 1907",144908,1,1,"Ochrophyta","Ectocarpales","Chordariaceae","Acrothrix","Acrothrix gracilis","Phaeophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"52",397561,397561,748410,"Genus","Actinauge","Verrill, 1883",100750,22,2,"Cnidaria","Actiniaria","Hormathiidae","Actinauge",NA,"Anthozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"53",397568,397568,397561,"Species","Actinauge longicornis","(Verrill, 1882)",158212,24,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge longicornis","Anthozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"54",397605,397605,695303,"Species","Actinernus nobilis","Verrill, 1879",158217,3,2,"Cnidaria","Actiniaria","Actinernidae","Actinernus","Actinernus nobilis","Anthozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"55",397760,397760,737334,"Species","Actinia obtruncata","Stimpson, 1853",158207,4,2,"Cnidaria","Actiniaria","Actiniidae","Actinia","Actinia obtruncata","Anthozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"56",397926,397926,849984,"Species","Actinocyclus normanii","(Gregory) Hustedt, 1957",148945,1,1,"Ochrophyta","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus normanii","Bacillariophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"57",397927,397927,397926,"Forma","Actinocyclus normanii f. subsala","(Juhlin-Dannfelt) Hustedt, 1957",157433,1,1,"Ochrophyta","Coscinodiscales","Hemidiscaceae","Actinocyclus","Actinocyclus normanii","Bacillariophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"58",397970,397970,520628,"Genus","Actinocythereis","Puri, 1953",159931,1,1,"Arthropoda","Podocopida","Trachyleberididae","Actinocythereis",NA,"Ostracoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
