"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","class","order","family","genus","redlist","status","species","hab","gisd","ecoregion"
"33",426878,426878,742909,"Species","Coregonus sardinella","Valenciennes, 1848",127181,7,1,"Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus",TRUE,"LC","Coregonus sardinella",NA,NA,"Lancaster Sound"
"34",428098,428098,617179,"Species","Cottunculus microps","Collett, 1875",127235,1,1,"Chordata","Actinopteri","Scorpaeniformes","Psychrolutidae","Cottunculus",NA,NA,"Cottunculus microps",NA,NA,"Lancaster Sound"
"35",428222,428222,428223,"Family","Crangonidae","Haworth, 1825",106782,1,1,"Arthropoda","Malacostraca","Decapoda","Crangonidae",NA,NA,NA,NA,NA,NA,"Lancaster Sound"
"36",429416,429416,429413,"Species","Ctenodiscus crispatus","(Retzius, 1805)",123915,1,1,"Echinodermata","Asteroidea","Paxillosida","Ctenodiscidae","Ctenodiscus",NA,NA,"Ctenodiscus crispatus",NA,NA,"Lancaster Sound"
"37",430240,430240,743548,"Genus","Cyclopina","Claus, 1863",106437,7,3,"Arthropoda",NA,"Cyclopoida","Cyclopinidae","Cyclopina",NA,NA,NA,NA,NA,"Lancaster Sound"
"38",430251,430251,771530,"Order","Cyclopoida","Burmeister, 1834",1101,25,4,"Arthropoda",NA,"Cyclopoida",NA,NA,NA,NA,NA,NA,NA,"Lancaster Sound"
"39",430276,430276,769071,"Species","Cyclopteropsis jordani","Soldatov, 1929",274488,3,2,"Chordata","Actinopteri","Scorpaeniformes","Cyclopteridae","Cyclopteropsis",NA,NA,"Cyclopteropsis jordani",NA,NA,"Lancaster Sound"
"40",431603,431603,773068,"Species","Cystophora cristata","(Erxleben, 1777)",137078,8,3,"Chordata","Mammalia","Carnivora","Phocidae","Cystophora",TRUE,"VU","Cystophora cristata",NA,NA,"Lancaster Sound"
"41",432114,432114,770691,"Genus","Daphnia","O.F. Müller, 1785",148370,2,1,"Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia",NA,NA,NA,NA,NA,"Lancaster Sound"
"42",432569,432569,769784,"Species","Delphinapterus leucas","(Pallas, 1776)",137115,9,2,"Chordata","Mammalia","Cetartiodactyla","Monodontidae","Delphinapterus",TRUE,"NT","Delphinapterus leucas",NA,NA,"Lancaster Sound"
"43",434436,434436,434435,"Species","Dimophyes arctica","(Chun, 1897)",135418,18,3,"Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Dimophyes",NA,NA,"Dimophyes arctica",NA,NA,"Lancaster Sound"
"44",434858,434858,434855,"Species","Diplocirrus hirsutus","(Hansen, 1878)",130101,1,1,"Annelida","Polychaeta","Terebellida","Flabelligeridae","Diplocirrus",NA,NA,"Diplocirrus hirsutus",NA,NA,"Lancaster Sound"
"45",435440,435440,744589,"Species","Discoconchoecia elegans","(Sars, 1866)",127782,38,2,"Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Discoconchoecia",NA,NA,"Discoconchoecia elegans",NA,NA,"Lancaster Sound"
"46",439372,439372,774698,"Species","Epigamia alexandri","(Malmgren, 1867)",238180,2,1,"Annelida","Polychaeta","Phyllodocida","Syllidae","Epigamia",NA,NA,"Epigamia alexandri",NA,NA,"Lancaster Sound"
"47",440039,440039,769774,"Species","Erignathus barbatus","(Erxleben, 1777)",137079,44,3,"Chordata","Mammalia","Carnivora","Phocidae","Erignathus",TRUE,"LC","Erignathus barbatus",NA,NA,"Lancaster Sound"
"48",441524,441524,697424,"Species","Eukrohnia hamata","(Möbius, 1875)",105416,75,5,"Chaetognatha","Sagittoidea","Phragmophora","Eukrohniidae","Eukrohnia",NA,NA,"Eukrohnia hamata",NA,NA,"Lancaster Sound"
"49",441682,441682,441667,"Species","Eumicrotremus spinosus","(Fabricius, 1776)",127217,15,2,"Chordata","Actinopteri","Scorpaeniformes","Cyclopteridae","Eumicrotremus",NA,NA,"Eumicrotremus spinosus",NA,NA,"Lancaster Sound"
"50",441876,441876,441872,"Species","Eunoe nodosa","(M. Sars, 1861)",130745,7,2,"Annelida","Polychaeta","Phyllodocida","Polynoidae","Eunoe",NA,NA,"Eunoe nodosa",NA,NA,"Lancaster Sound"
