"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"23",459353,459353,636846,"Species","Lactoria diaphana","(Bloch & Schneider, 1801)",219903,NA,NA,1,1,"Chordata","Tetraodontiformes","Ostraciidae","Lactoria","Lactoria diaphana","Actinopteri","Easter Island"
"24",459355,459355,636846,"Species","Lactoria paschae","(Rendahl, 1921)",278031,NA,NA,1,1,"Chordata","Tetraodontiformes","Ostraciidae","Lactoria","Lactoria paschae","Actinopteri","Easter Island"
"25",463278,463278,698303,"Genus","Lima","Bruguière, 1797",138125,NA,NA,1,1,"Mollusca","Limoida","Limidae","Lima",NA,"Bivalvia","Easter Island"
"26",465276,465276,465269,"Species","Lucicutia curta","Farran, 1905",104596,NA,NA,1,1,"Arthropoda","Calanoida","Lucicutiidae","Lucicutia","Lucicutia curta",NA,"Easter Island"
"27",466723,466723,466722,"Species","Macronectes giganteus","(Gmelin, 1789)",212636,TRUE,"LC",1,1,"Chordata","Procellariiformes","Procellariidae","Macronectes","Macronectes giganteus","Aves","Easter Island"
"28",468672,468672,468670,"Species","Maupasia coeca","Viguier, 1886",155417,NA,NA,1,1,"Annelida","Phyllodocida","Lopadorrhynchidae","Maupasia","Maupasia coeca","Polychaeta","Easter Island"
"29",470662,470662,470659,"Species","Metis jousseaumei","(Richard, 1892)",220672,NA,NA,1,1,"Arthropoda","Harpacticoida","Metidae","Metis","Metis jousseaumei",NA,"Easter Island"
"30",471888,471888,774292,"Species","Mirounga leonina","(Linnaeus, 1758)",231413,TRUE,"LC",1,1,"Chordata","Carnivora","Phocidae","Mirounga","Mirounga leonina","Mammalia","Easter Island"
"31",474640,474640,752461,"Species","Myripristis pralinia","Cuvier, 1829",217919,TRUE,"LC",1,1,"Chordata","Beryciformes","Holocentridae","Myripristis","Myripristis pralinia","Actinopteri","Easter Island"
"32",481911,481911,774816,"Genus","Ophiocoma","L. Agassiz, 1836",123592,NA,NA,1,1,"Echinodermata","Ophiurida","Ophiocomidae","Ophiocoma",NA,"Ophiuroidea","Easter Island"
"33",485163,485163,485148,"Species","Panulirus pascuensis","Reed, 1954",382901,TRUE,"DD",1,1,"Arthropoda","Decapoda","Palinuridae","Panulirus","Panulirus pascuensis","Malacostraca","Easter Island"
"34",492260,492260,492258,"Species","Physalia physalis","(Linnaeus, 1758)",135479,NA,NA,1,1,"Cnidaria","Siphonophorae","Physaliidae","Physalia","Physalia physalis","Hydrozoa","Easter Island"
"35",492276,492276,769786,"Species","Physeter macrocephalus","Linnaeus, 1758",137119,TRUE,"VU",2,1,"Chordata","Cetartiodactyla","Physeteridae","Physeter","Physeter macrocephalus","Mammalia","Easter Island"
"36",492774,492774,771585,"Species","Pione vastifica","(Hancock, 1849)",157411,NA,NA,2,2,"Porifera","Clionaida","Clionaidae","Pione","Pione vastifica","Demospongiae","Easter Island"
"37",494177,494177,494164,"Species","Pleuromamma xiphias","(Giesbrecht, 1889)",104643,NA,NA,1,1,"Arthropoda","Calanoida","Metridinidae","Pleuromamma","Pleuromamma xiphias",NA,"Easter Island"
"38",495965,495965,495963,"Species","Polysteganus coeruleopunctatus","(Klunzinger, 1870)",218614,TRUE,"DD",1,1,"Chordata","Perciformes","Sparidae","Polysteganus","Polysteganus coeruleopunctatus","Actinopteri","Easter Island"
"39",496274,496274,496291,"Genus","Pontella","Dana, 1846",104209,NA,NA,2,1,"Arthropoda","Calanoida","Pontellidae","Pontella",NA,NA,"Easter Island"
"40",497457,497457,497432,"Species","Priolepis psygmophilia","Winterbottom & Burridge, 1993",276775,NA,NA,3,3,"Chordata","Perciformes","Gobiidae","Priolepis","Priolepis psygmophilia","Actinopteri","Easter Island"
"41",499489,499489,769017,"Species","Pseudocaranx dentex","(Bloch & Schneider, 1801)",126812,NA,NA,1,1,"Chordata","Perciformes","Carangidae","Pseudocaranx","Pseudocaranx dentex","Actinopteri","Easter Island"
"42",499926,499926,776953,"Species","Pseudolabrus semifasciatus","(Rendahl, 1921)",282441,TRUE,"LC",1,1,"Chordata","Perciformes","Labridae","Pseudolabrus","Pseudolabrus semifasciatus","Actinopteri","Easter Island"
"43",505489,505489,505487,"Species","Sagitella kowalewskii","Wagner, 1872",155459,NA,NA,2,2,"Annelida","Phyllodocida","Typhloscolecidae","Sagitella","Sagitella kowalewskii","Polychaeta","Easter Island"
"44",506361,506361,758511,"Species","Sargocentron punctatissimum","(Cuvier, 1829)",217941,NA,NA,1,1,"Chordata","Beryciformes","Holocentridae","Sargocentron","Sargocentron punctatissimum","Actinopteri","Easter Island"
"45",506368,506368,758511,"Species","Sargocentron tiereoides","(Bleeker, 1853)",217949,NA,NA,1,1,"Chordata","Beryciformes","Holocentridae","Sargocentron","Sargocentron tiereoides","Actinopteri","Easter Island"
"46",512265,512265,512262,"Species","Spirastrella cunctatrix","Schmidt, 1868",134235,NA,NA,2,2,"Porifera","Clionaida","Spirastrellidae","Spirastrella","Spirastrella cunctatrix","Demospongiae","Easter Island"
"47",513115,513115,513102,"Species","Stegastes fasciolatus","(Ogilby, 1889)",218850,NA,NA,1,1,"Chordata","Perciformes","Pomacentridae","Stegastes","Stegastes fasciolatus","Actinopteri","Easter Island"
"48",514044,514044,514039,"Species","Stichopus horrens","Selenka, 1867",210914,TRUE,"DD",1,1,"Echinodermata","Aspidochirotida","Stichopodidae","Stichopus","Stichopus horrens","Holothuroidea","Easter Island"
"49",514960,514960,514942,"Species","Stylocheiron maximum","Hansen, 1908",110704,NA,NA,1,1,"Arthropoda","Euphausiacea","Euphausiidae","Stylocheiron","Stylocheiron maximum","Malacostraca","Easter Island"
"50",515250,515250,700826,"Species","Sulculeolaria monoica","(Chun, 1888)",196553,NA,NA,2,1,"Cnidaria","Siphonophorae","Diphyidae","Sulculeolaria","Sulculeolaria monoica","Hydrozoa","Easter Island"
"51",516060,516060,760646,"Species","Synchiropus randalli","Clark & Fricke, 1985",273259,NA,NA,1,1,"Chordata","Perciformes","Callionymidae","Synchiropus","Synchiropus randalli","Actinopteri","Easter Island"
"52",517423,517423,517411,"Species","Telmatactis panamensis","(Verrill, 1869)",283684,NA,NA,4,2,"Cnidaria","Actiniaria","Isophelliidae","Telmatactis","Telmatactis panamensis","Anthozoa","Easter Island"
