"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"37",405555,405555,405545,"Species","Architectonica nobilis","Röding, 1798",181092,2,1,"Mollusca","Heterobranchia incertae sedis","Architectonicidae","Architectonica","Architectonica nobilis","Gastropoda",NA,NA,NA,NA,"Amazonia"
"38",405585,405585,771718,"Species","Archosargus probatocephalus","(Walbaum, 1792)",159238,8,3,"Chordata","Perciformes","Sparidae","Archosargus","Archosargus probatocephalus","Actinopteri",TRUE,"LC",NA,NA,"Amazonia"
"39",405933,405933,405931,"Genus","Argulus","O.F. Müller, 1785",104071,2,1,"Arthropoda","Arguloida","Argulidae","Argulus",NA,"Ichthyostraca",NA,NA,NA,NA,"Amazonia"
"40",406123,406123,739686,"Genus","Ariosoma","Swainson, 1838",125622,2,1,"Chordata","Anguilliformes","Congridae","Ariosoma",NA,"Actinopteri",NA,NA,NA,NA,"Amazonia"
"41",406129,406129,406123,"Species","Ariosoma balearicum","(Delaroche, 1809)",126283,2,2,"Chordata","Anguilliformes","Congridae","Ariosoma","Ariosoma balearicum","Actinopteri",TRUE,"LC",NA,NA,"Amazonia"
"42",406149,406149,406123,"Species","Ariosoma selenops","Reid, 1934",271736,6,2,"Chordata","Anguilliformes","Congridae","Ariosoma","Ariosoma selenops","Actinopteri",TRUE,"LC",NA,NA,"Amazonia"
"43",406165,406165,767795,"Species","Aristaeopsis edwardsiana","(Johnson, 1868)",240796,1,1,"Arthropoda","Decapoda","Aristeidae","Aristaeopsis","Aristaeopsis edwardsiana","Malacostraca",NA,NA,NA,NA,"Amazonia"
"44",406207,406207,1028945,"Genus","Arius","Valenciennes, 1840",158710,6,3,"Chordata","Siluriformes","Ariidae","Arius",NA,"Actinopteri",NA,NA,NA,NA,"Amazonia"
"45",406562,406562,776188,"Species","Asarcenchelys longimanus","McCosker, 1985",279705,4,2,"Chordata","Anguilliformes","Ophichthidae","Asarcenchelys","Asarcenchelys longimanus","Actinopteri",TRUE,"DD",NA,NA,"Amazonia"
"46",406914,406914,776194,"Species","Aspistor luniscutis","(Valenciennes, 1840)",279755,5,1,"Chordata","Siluriformes","Ariidae","Aspistor","Aspistor luniscutis","Actinopteri",NA,NA,NA,NA,"Amazonia"
"47",407088,407088,770790,"Species","Asterionellopsis glacialis","(Castracane) Round, 1990",149139,10,3,"Ochrophyta","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis","Bacillariophyceae",NA,NA,NA,NA,"Amazonia"
"48",407388,407388,695777,"Species","Astrangia solitaria","(Le Sueur, 1818)",287125,5,3,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Astrangia solitaria","Anthozoa",NA,NA,NA,NA,"Amazonia"
"49",407974,407974,739256,"Genus","Atlanta","Lesueur, 1817",137687,1,1,"Mollusca","Littorinimorpha","Atlantidae","Atlanta",NA,"Gastropoda",NA,NA,NA,NA,"Amazonia"
"50",408038,408038,699783,"Genus","Atrina","Gray, 1842",138351,2,1,"Mollusca","Ostreoida","Pinnidae","Atrina",NA,"Bivalvia",NA,NA,NA,NA,"Amazonia"
