"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","gisd","redlist","status","ecoregion"
"15",401686,401686,401633,"Species","Amphiura flexuosa","Ljungman, 1867",242936,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura flexuosa","Ophiuroidea",NA,NA,NA,"Rio de la Plata"
"16",401690,401690,401633,"Species","Amphiura joubini","Koehler, 1912",173116,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura joubini","Ophiuroidea",NA,NA,NA,"Rio de la Plata"
"17",402723,402723,600885,"Species","Ancistrosyllis groenlandica","McIntosh, 1879",130695,1,1,"Annelida","Phyllodocida","Pilargidae","Ancistrosyllis","Ancistrosyllis groenlandica","Polychaeta",NA,NA,NA,"Rio de la Plata"
"18",405323,405323,405321,"Species","Arbacia punctulata","(Lamarck, 1816)",158058,1,1,"Echinodermata","Arbacioida","Arbaciidae","Arbacia","Arbacia punctulata","Echinoidea",NA,NA,NA,"Rio de la Plata"
"19",406020,406020,738848,"Species","Aricidea (Acmira) simplex","Day, 1963",333037,1,1,"Annelida",NA,"Paraonidae","Aricidea","Aricidea (Acmira) simplex","Polychaeta",NA,NA,NA,"Rio de la Plata"
"20",406293,406293,770709,"Genus","Armadillidium","Brandt, 1831",148672,1,1,"Arthropoda","Isopoda","Armadillidiidae","Armadillidium",NA,"Malacostraca",NA,NA,NA,"Rio de la Plata"
"21",406296,406296,406293,"Species","Armadillidium vulgare","(Latreille, 1804)",257832,4,1,"Arthropoda","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","Malacostraca",NA,NA,NA,"Rio de la Plata"
"22",406470,406470,774934,"Species","Artemesia longinaris","Spence Bate, 1888",246225,2,1,"Arthropoda","Decapoda","Penaeidae","Artemesia","Artemesia longinaris","Malacostraca",NA,NA,NA,"Rio de la Plata"
"23",407074,407074,407058,"Species","Asterina stellifera","(Möbius, 1859)",177952,1,1,"Echinodermata","Valvatida","Asterinidae","Asterina","Asterina stellifera","Asteroidea",NA,NA,NA,"Rio de la Plata"
"24",407075,407075,524365,"Family","Asterinidae","Gray, 1840",123133,1,1,"Echinodermata","Valvatida","Asterinidae",NA,NA,"Asteroidea",NA,NA,NA,"Rio de la Plata"
"25",407386,407386,695777,"Species","Astrangia rathbuni","Vaughan, 1906",287124,1,1,"Cnidaria","Scleractinia","Rhizangiidae","Astrangia","Astrangia rathbuni","Anthozoa",NA,NA,NA,"Rio de la Plata"
"26",407569,407569,695787,"Species","Astropecten brasiliensis","Müller & Troschel, 1842",178647,2,1,"Echinodermata","Paxillosida","Astropectinidae","Astropecten","Astropecten brasiliensis","Asteroidea",NA,NA,NA,"Rio de la Plata"
"27",407573,407573,695787,"Species","Astropecten cingulatus","Sladen, 1883",178648,2,1,"Echinodermata","Paxillosida","Astropectinidae","Astropecten","Astropecten cingulatus","Asteroidea",NA,NA,NA,"Rio de la Plata"
"28",408006,408006,776208,"Species","Atlantoraja platana","(Günther, 1880)",279818,1,1,"Chordata","Rajiformes","Arhynchobatidae","Atlantoraja","Atlantoraja platana","Elasmobranchii",NA,TRUE,"VU","Rio de la Plata"
"29",411443,411443,606283,"Species","Beroe ovata","Bruguière, 1789",106362,1,1,"Ctenophora","Beroida","Beroidae","Beroe","Beroe ovata","Nuda",NA,NA,NA,"Rio de la Plata"
