"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","hab","ecoregion"
"2601",661385,661385,498087,"Species","Promethichthys prometheus","(Cuvier, 1832)",126866,6,1,"Chordata","Perciformes","Gempylidae","Promethichthys","Actinopteri","Promethichthys prometheus",NA,NA,NA,NA,"Southeastern Brazil"
"2602",661407,661407,776929,"Species","Pronotogrammus martinicensis","(Guichenot, 1868)",282365,3,1,"Chordata","Perciformes","Serranidae","Pronotogrammus","Actinopteri","Pronotogrammus martinicensis",TRUE,"LC",NA,NA,"Southeastern Brazil"
"2603",661566,661566,498324,"Species","Prosphaerosyllis isabellae","Nogueira, San-Martín & Amaral, 2001",NA,2,2,"Annelida","Phyllodocida","Syllidae","Prosphaerosyllis","Polychaeta","Prosphaerosyllis isabellae",NA,NA,NA,NA,"Southeastern Brazil"
"2604",661611,661611,498369,"Species","Protankyra benedeni","(Ludwig, 1881)",422541,2,2,"Echinodermata","Apodida","Synaptidae","Protankyra","Holothuroidea","Protankyra benedeni",NA,NA,NA,NA,"Southeastern Brazil"
"2605",661660,661660,697174,"Genus","Protodorvillea","Pettibone, 1961",129272,14,3,"Annelida","Eunicida","Dorvilleidae","Protodorvillea","Polychaeta",NA,NA,NA,NA,NA,"Southeastern Brazil"
"2606",661876,661876,700045,"Species","Prunum fulminatum","(Kiener, 1841)",473962,3,1,"Mollusca","Neogastropoda","Marginellidae","Prunum","Gastropoda","Prunum fulminatum",NA,NA,NA,NA,"Southeastern Brazil"
"2607",661879,661879,700045,"Species","Prunum martini","(Petit de la Saussaye, 1853)",473969,62,2,"Mollusca","Neogastropoda","Marginellidae","Prunum","Gastropoda","Prunum martini",NA,NA,NA,NA,"Southeastern Brazil"
"2608",661884,661884,700045,"Species","Prunum rubens","(Martens, 1881)",473982,7,2,"Mollusca","Neogastropoda","Marginellidae","Prunum","Gastropoda","Prunum rubens",NA,NA,NA,NA,"Southeastern Brazil"
"2609",661942,661942,779942,"Species","Psammotella cruenta","(Lightfoot, 1786)",420908,2,2,"Mollusca","Cardiida","Psammobiidae","Psammotella","Bivalvia","Psammotella cruenta",NA,NA,NA,NA,"Southeastern Brazil"
"2610",661975,661975,661972,"Species","Psenes cyanophrys","Valenciennes, 1833",159427,1,1,"Chordata","Perciformes","Nomeidae","Psenes","Actinopteri","Psenes cyanophrys",NA,NA,NA,NA,"Southeastern Brazil"
"2611",662208,662208,774015,"Species","Pseudocarcharias kamoharai","(Matsubara, 1936)",217632,3,1,"Chordata","Lamniformes","Pseudocarchariidae","Pseudocarcharias","Elasmobranchii","Pseudocarcharias kamoharai",TRUE,"NT",NA,NA,"Southeastern Brazil"
"2612",662229,662229,769871,"Species","Pseudochama cristella","(Lamarck, 1819)",504796,1,1,"Mollusca",NA,"Chamidae","Pseudochama","Bivalvia","Pseudochama cristella",NA,NA,NA,NA,"Southeastern Brazil"
"2613",662353,662353,757220,"Genus","Pseudodiaptomus","Herrick, 1884",157680,36,1,"Arthropoda","Calanoida","Pseudodiaptomidae","Pseudodiaptomus",NA,NA,NA,NA,NA,NA,"Southeastern Brazil"
"2614",662493,662493,821824,"Species","Pseudomegamphopus barnardi","Myers, 1968",545599,2,1,"Arthropoda","Amphipoda","Neomegamphopidae","Pseudomegamphopus","Malacostraca","Pseudomegamphopus barnardi",NA,NA,NA,NA,"Southeastern Brazil"
