"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","ecoregion"
"87",440551,440551,776446,"Species","Ethmidium maculatum","(Valenciennes, 1847)",280726,1,1,"Chordata","Clupeiformes","Clupeidae","Ethmidium","Ethmidium maculatum","Actinopteri",TRUE,"DD",NA,"Central Chile"
"88",440792,440792,745572,"Species","Euaugaptilus magnus","(Wolfenden, 1904)",104402,1,1,"Arthropoda","Calanoida","Augaptilidae","Euaugaptilus","Euaugaptilus magnus",NA,NA,NA,NA,"Central Chile"
"89",440813,440813,771685,"Species","Eubalaena australis","(Desmoulins, 1822)",220222,38,1,"Chordata","Cetartiodactyla","Balaenidae","Eubalaena","Eubalaena australis","Mammalia",TRUE,"LC",NA,"Central Chile"
"90",440855,440855,440854,"Genus","Eucalanus","Dana, 1852",104171,28,1,"Arthropoda","Calanoida","Eucalanidae","Eucalanus",NA,NA,NA,NA,NA,"Central Chile"
"91",441523,441523,697424,"Species","Eukrohnia fowleri","Ritter-Záhony, 1909",105415,3,1,"Chaetognatha","Phragmophora","Eukrohniidae","Eukrohnia","Eukrohnia fowleri","Sagittoidea",NA,NA,NA,"Central Chile"
"92",441524,441524,697424,"Species","Eukrohnia hamata","(Möbius, 1875)",105416,22,1,"Chaetognatha","Phragmophora","Eukrohniidae","Eukrohnia","Eukrohnia hamata","Sagittoidea",NA,NA,NA,"Central Chile"
"93",442013,442013,697444,"Species","Euphausia recurva","Hansen, 1905",221047,3,1,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia recurva","Malacostraca",NA,NA,NA,"Central Chile"
"94",443904,443904,774159,"Genus","Fissurella","Bruguière, 1789",138013,3,1,"Mollusca",NA,"Fissurellidae","Fissurella",NA,"Gastropoda",NA,NA,NA,"Central Chile"
"95",443923,443923,766654,"Family","Fissurellidae","Fleming, 1822",111,1,1,"Mollusca",NA,"Fissurellidae",NA,NA,"Gastropoda",NA,NA,NA,"Central Chile"
"96",444121,444121,767595,"Species","Flaccisagitta enflata","(Grassi, 1881)",105434,14,1,"Chaetognatha","Aphragmophora","Sagittidae","Flaccisagitta","Flaccisagitta enflata","Sagittoidea",NA,NA,NA,"Central Chile"
"97",445111,445111,398634,"Genus","Gaetanus","Giesbrecht, 1888",104121,1,1,"Arthropoda","Calanoida","Aetideidae","Gaetanus",NA,NA,NA,NA,NA,"Central Chile"
"98",445121,445121,445111,"Species","Gaetanus kruppii","Giesbrecht, 1903",221290,1,1,"Arthropoda","Calanoida","Aetideidae","Gaetanus","Gaetanus kruppii",NA,NA,NA,NA,"Central Chile"
"99",445776,445776,767804,"Species","Gastroptychus hendersoni","(Alcock & Anderson, 1899)",392023,1,1,"Arthropoda","Decapoda","Chirostylidae","Gastroptychus","Gastroptychus hendersoni","Malacostraca",NA,NA,NA,"Central Chile"
"100",446165,446165,446161,"Species","Genypterus chilensis","(Guichenot, 1848)",278704,2,2,"Chordata","Ophidiiformes","Ophidiidae","Genypterus","Genypterus chilensis","Actinopteri",NA,NA,NA,"Central Chile"
"101",446254,446254,446252,"Species","Gephyrocapsa oceanica","Kamptner, 1943",235955,27,1,"Haptophyta","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Gephyrocapsa oceanica","Prymnesiophyceae",NA,NA,NA,"Central Chile"
"102",446726,446726,629011,"Species","Globicephala melas","(Traill, 1809)",137097,13,1,"Chordata","Cetartiodactyla","Delphinidae","Globicephala","Globicephala melas","Mammalia",TRUE,"DD",NA,"Central Chile"
"103",446737,446737,746827,"Species","Globigerina falconensis","Blow, 1959",221249,25,1,"Foraminifera","Globigerinida","Globigerinidae","Globigerina","Globigerina falconensis","Globothalamea",NA,NA,NA,"Central Chile"
