"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","hab","gisd","ecoregion"
"60",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",7,3,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Mammalia",137090,TRUE,"EN",NA,NA,"Central Peru"
"61",409572,409572,769005,"Species","Barbantus curvifrons","(Roule & Angel, 1931)",2,2,"Chordata","Osmeriformes","Platytroctidae","Barbantus","Barbantus curvifrons","Actinopteri",126738,NA,NA,NA,NA,"Central Peru"
"62",410207,410207,739619,"Species","Bathophilus filifer","(Garman, 1899)",10,2,"Chordata","Stomiiformes","Stomiidae","Bathophilus","Bathophilus filifer","Actinopteri",275045,NA,NA,NA,NA,"Central Peru"
"63",410327,410327,605638,"Species","Bathyconchoecia deeveyae","Kornicker, 1970",1,1,"Arthropoda","Halocyprida","Halocyprididae","Bathyconchoecia","Bathyconchoecia deeveyae","Ostracoda",127752,NA,NA,NA,NA,"Central Peru"
"64",410603,410603,779424,"Species","Bathyneaera tillamookensis","(Dall, 1916)",2,1,"Mollusca",NA,"Cuspidariidae","Bathyneaera","Bathyneaera tillamookensis","Bivalvia",408525,NA,NA,NA,NA,"Central Peru"
"65",410825,410825,844407,"Genus","Bathysiphon","Sars, 1872",1,1,"Foraminifera","Astrorhizida","Rhabdamminidae","Bathysiphon",NA,"Monothalamea",112300,NA,NA,NA,NA,"Central Peru"
"66",410856,410856,605946,"Species","Bathyteuthis bacidifera","Roper, 1968",4,2,"Mollusca","Decapodiformes incertae sedis","Bathyteuthidae","Bathyteuthis","Bathyteuthis bacidifera","Cephalopoda",341788,TRUE,"DD",NA,NA,"Central Peru"
"67",411021,411021,768185,"Species","Beella digitata","(Brady, 1879)",6,1,"Foraminifera","Globigerinida","Globigerinidae","Beella","Beella digitata","Globothalamea",113433,NA,NA,NA,NA,"Central Peru"
"68",411659,411659,739887,"Species","Biddulphia rhombus","(Ehrenberg) W.Smith, 1854",3,1,"Ochrophyta","Biddulphiales","Biddulphiaceae","Biddulphia","Biddulphia rhombus","Bacillariophyceae",149324,NA,NA,NA,NA,"Central Peru"
"69",412204,412204,739991,"Species","Bollmannia stigmatura","Gilbert, 1892",2,2,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia stigmatura","Actinopteri",279938,TRUE,"DD",NA,NA,"Central Peru"
"70",412538,412538,696023,"Species","Bothus constellatus","(Jordan, 1889)",4,2,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus constellatus","Actinopteri",274183,NA,NA,NA,NA,"Central Peru"
"71",412737,412737,1011612,"Genus","Brachidinium","F.J.R.Taylor, 1967",1,1,"Myzozoa","Gymnodiniales","Kareniaceae","Brachidinium",NA,"Dinophyceae",231770,NA,NA,NA,NA,"Central Peru"
"72",412777,412777,738303,"Phylum","Brachiopoda","Duméril, 1805",1,1,"Brachiopoda",NA,NA,NA,NA,NA,1803,NA,NA,NA,NA,"Central Peru"
"73",413655,413655,1014220,"Genus","Bulbamphiascus","Lang, 1944",1,1,"Arthropoda","Harpacticoida","Miraciidae","Bulbamphiascus",NA,NA,115306,NA,NA,NA,NA,"Central Peru"
"74",414466,414466,414462,"Species","Calanus chilensis","Brodsky, 1959",2,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus chilensis",NA,346212,NA,NA,NA,NA,"Central Peru"
"75",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",95,2,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",235923,NA,NA,NA,NA,"Central Peru"
"76",414637,414637,414626,"Species","Caligus bonito","Wilson C.B., 1905",1,1,"Arthropoda","Siphonostomatoida","Caligidae","Caligus","Caligus bonito",NA,135745,NA,NA,NA,NA,"Central Peru"
"77",415330,415330,415329,"Species","Callorhinchus callorynchus","(Linnaeus, 1758)",2,1,"Chordata","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","Holocephali",278468,TRUE,"LC",NA,NA,"Central Peru"
"78",415699,415699,768310,"Genus","Calyptrosphaera","Lohmann, 1902",10,2,"Haptophyta","Coccosphaerales","Calyptrosphaeraceae","Calyptrosphaera",NA,"Prymnesiophyceae",235828,NA,NA,NA,NA,"Central Peru"
"79",415844,415844,609164,"Species","Campylaspis bulbosa","Jones, 1974",1,1,"Arthropoda","Cumacea","Nannastacidae","Campylaspis","Campylaspis bulbosa","Malacostraca",182390,NA,NA,NA,NA,"Central Peru"
"80",416145,416145,768160,"Species","Cancris auriculus","(Fichtel & Moll, 1798)",4,1,"Foraminifera","Rotaliida","Cancrisidae","Cancris","Cancris auriculus","Globothalamea",112940,NA,NA,NA,NA,"Central Peru"
"81",416163,416163,609426,"Species","Candacia bipinnata","(Giesbrecht, 1889)",1,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia bipinnata",NA,104475,NA,NA,NA,NA,"Central Peru"
