"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"8636",788558,788558,771647,"Species","Sclerodactyla briareus","(Lesueur, 1824)",158532,7,3,"Echinodermata","Dendrochirotida","Sclerodactylidae","Sclerodactyla","Sclerodactyla briareus","Holothuroidea",NA,NA,NA,NA,"Virginian"
"8637",788567,788567,667289,"Species","Scoletoma ernesti","(Perkins, 1979)",421064,26,1,"Annelida","Eunicida","Lumbrineridae","Scoletoma","Scoletoma ernesti","Polychaeta",NA,NA,NA,NA,"Virginian"
"8638",788571,788571,667289,"Species","Scoletoma verrilli","(Perkins, 1979)",421066,5,1,"Annelida","Eunicida","Lumbrineridae","Scoletoma","Scoletoma verrilli","Polychaeta",NA,NA,NA,NA,"Virginian"
"8639",788601,788601,793290,"Species","Seiurus aurocapilla","(Linnaeus, 1766)",422653,2,1,"Chordata","Passeriformes","Parulidae","Seiurus","Seiurus aurocapilla","Aves",TRUE,"LC",NA,NA,"Virginian"
"8640",788633,788633,793084,"Species","Setophaga ruticilla","(Linnaeus, 1758)",422649,4,1,"Chordata","Passeriformes","Parulidae","Setophaga","Setophaga ruticilla","Aves",TRUE,"LC",NA,NA,"Virginian"
"8641",788652,788652,768143,"Species","Sigmoilopsis schlumbergeri","(Silvestri, 1904)",112704,2,1,"Foraminifera","Miliolida","Hauerinidae","Sigmoilopsis","Sigmoilopsis schlumbergeri","Tubothalamea",NA,NA,NA,NA,"Virginian"
"8642",788719,788719,700564,"Species","Solaster earlli","Verrill, 1879",124158,15,2,"Echinodermata","Valvatida","Solasteridae","Solaster","Solaster earlli","Asteroidea",NA,NA,NA,NA,"Virginian"
"8643",788757,788757,779962,"Species","Sphaeroidinella dehiscens","(Parker & Jones, 1865)",418108,15,1,"Foraminifera","Globigerinida","Globigerinidae","Sphaeroidinella","Sphaeroidinella dehiscens","Globothalamea",NA,NA,NA,NA,"Virginian"
"8644",788775,788775,825497,"Genus","Spirilla","Agassiz, 1842",446101,1,1,"Mollusca","Neogastropoda","Fasciolariidae","Spirilla",NA,"Gastropoda",NA,NA,NA,NA,"Virginian"
"8645",788866,788866,817704,"Species","Stelgidopteryx serripennis","Audubon",NA,1,1,"Chordata","Passeriformes","Hirundinidae","Stelgidopteryx","Stelgidopteryx serripennis","Aves",TRUE,"LC",NA,NA,"Virginian"
"8646",788897,788897,628170,"Family","Stenothoidae","Boeck, 1871",101409,14,3,"Arthropoda","Amphipoda","Stenothoidae",NA,NA,"Malacostraca",NA,NA,NA,NA,"Virginian"
"8647",788970,788970,776065,"Species","Stomolophus meleagris","Agassiz, 1862",291140,85,3,"Cnidaria","Rhizostomeae","Stomolophidae","Stomolophus","Stomolophus meleagris","Scyphozoa",NA,NA,NA,NA,"Virginian"
"8648",789007,789007,514730,"Species","Strongylacidon griseum","(Schmidt, 1870)",168799,1,1,"Porifera","Poecilosclerida","Chondropsidae","Strongylacidon","Strongylacidon griseum","Demospongiae",NA,NA,NA,NA,"Virginian"
"8649",789013,789013,760377,"Species","Stylaster erubescens","Pourtalès, 1868",117964,1,1,"Cnidaria","Anthoathecata","Stylasteridae","Stylaster","Stylaster erubescens","Hydrozoa",NA,NA,NA,NA,"Virginian"
"8650",789052,789052,779966,"Species","Suturoglypta iontha","(Ravenel, 1861)",420013,1,1,"Mollusca","Neogastropoda","Columbellidae","Suturoglypta","Suturoglypta iontha","Gastropoda",NA,NA,NA,NA,"Virginian"
"8651",789141,789141,792742,"Species","Tachycineta bicolor","(Vieillot, 1808)",422625,47,1,"Chordata","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor","Aves",TRUE,"LC",NA,NA,"Virginian"
"8652",789222,789222,793306,"Species","Terebrospira chattoni","Bradbury, Clamp & Lyon, 1974",417480,1,1,"Ciliophora","Apostomatida","Foettingeriidae","Terebrospira","Terebrospira chattoni","Oligohymenophorea",NA,NA,NA,NA,"Virginian"
"8653",789326,789326,519362,"Species","Thracia morrisoni","Petit, 1964",421006,4,1,"Mollusca",NA,"Thraciidae","Thracia","Thracia morrisoni","Bivalvia",NA,NA,NA,NA,"Virginian"
"8654",789379,789379,519941,"Species","Tintinnopsis cylindrica","Daday, 1887",345439,2,1,"Ciliophora","Choreotrichida","Codonellidae","Tintinnopsis","Tintinnopsis cylindrica","Oligotrichea",NA,NA,NA,NA,"Virginian"
"8655",789419,789419,817318,"Species","Toxostoma rufum","Linnaeus",NA,1,1,"Chordata","Passeriformes","Mimidae","Toxostoma","Toxostoma rufum","Aves",TRUE,"LC",NA,NA,"Virginian"
"8656",789462,789462,793942,"Species","Trichocoleus tenerrimus","(Gomont) Anagnostidis, 2001",417048,2,1,"Cyanobacteria","Oscillatoriales","Schizotrichaceae","Trichocoleus","Trichocoleus tenerrimus","Cyanophyceae",NA,NA,NA,NA,"Virginian"
"8657",789551,789551,762041,"Species","Trochammina lobata","Cushman, 1944",417619,2,1,"Foraminifera","Lituolida","Trochamminidae","Trochammina","Trochammina lobata","Globothalamea",NA,NA,NA,NA,"Virginian"
"8658",789619,789619,762288,"Species","Turdus migratorius","Linnaeus",NA,9,1,"Chordata","Passeriformes","Turdidae","Turdus","Turdus migratorius","Aves",TRUE,"LC",NA,NA,"Virginian"
"8659",789654,789654,793354,"Species","Tyrannus tyrannus","Linnaeus",NA,1,1,"Chordata","Passeriformes","Tyrannidae","Tyrannus","Tyrannus tyrannus","Aves",TRUE,"LC",NA,NA,"Virginian"
"8660",789667,789667,792966,"Species","Uca (Leptuca) pugilator","(Bosc, 1801)",158462,15,3,"Arthropoda","Decapoda","Ocypodidae","Uca","Uca (Leptuca) pugilator","Malacostraca",NA,NA,NA,NA,"Virginian"
"8661",789676,789676,794146,"Species","Uca (Minuca) minax","(Le Conte, 1855)",158461,8,3,"Arthropoda","Decapoda","Ocypodidae","Uca","Uca (Minuca) minax","Malacostraca",NA,NA,NA,NA,"Virginian"
"8662",789679,789679,794146,"Species","Uca (Minuca) pugnax","(Smith, 1870)",158463,8,3,"Arthropoda","Decapoda","Ocypodidae","Uca","Uca (Minuca) pugnax","Malacostraca",NA,NA,NA,NA,"Virginian"
"8663",789725,789725,523642,"Species","Umbellula guentheri","Kölliker, 1880",418863,4,2,"Cnidaria","Pennatulacea","Umbellulidae","Umbellula","Umbellula guentheri","Anthozoa",NA,NA,NA,NA,"Virginian"
