"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"4014",1016464,1016464,416042,"Species","Cancellaria petuchi","Harasewych, Petit & Verhecken, 1992",515780,5,2,"Mollusca","Neogastropoda","Cancellariidae","Cancellaria","Cancellaria petuchi","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4015",1016534,1016534,819659,"Species","Cardites floridanus","(Conrad, 1838)",504861,4,2,"Mollusca","Carditoida","Carditidae","Cardites","Cardites floridanus","Bivalvia",NA,NA,NA,NA,"Eastern Brazil"
"4016",1016653,1016653,772335,"Species","Ceratonereis (Composetia) hircinicola","(Eisig, 1870)",333206,6,1,"Annelida","Phyllodocida","Nereididae","Ceratonereis","Ceratonereis (Composetia) hircinicola","Polychaeta",NA,NA,NA,NA,"Eastern Brazil"
"4017",1016682,1016682,793592,"Species","Retilaskeya emersonii","(C. B. Adams, 1839)",579233,6,2,"Mollusca","Caenogastropoda incertae sedis","Cerithiopsidae","Retilaskeya","Retilaskeya emersonii","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4018",1016755,1016755,779376,"Species","Siratus carolynae","(Vokes, 1990)",405265,1,1,"Mollusca","Neogastropoda","Muricidae","Siratus","Siratus carolynae","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4019",1016756,1016756,779376,"Species","Siratus coltrorum","(Vokes, 1990)",405269,3,2,"Mollusca","Neogastropoda","Muricidae","Siratus","Siratus coltrorum","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4020",1016911,1016911,470243,"Species","Metacirolana riobaldoi","(Lemos de Castro & Lima, 1976)",256644,1,1,"Arthropoda","Isopoda","Cirolanidae","Metacirolana","Metacirolana riobaldoi","Malacostraca",NA,NA,NA,NA,"Eastern Brazil"
"4021",1016951,1016951,527305,"Species","Clathria (Clathria) calypso","Boury-Esnault, 1973",167506,2,2,"Porifera","Poecilosclerida","Microcionidae","Clathria","Clathria (Clathria) calypso","Demospongiae",NA,NA,NA,NA,"Eastern Brazil"
"4022",1016987,1016987,763495,"Species","Clathria (Thalysias) procera","(Ridley, 1884)",167770,1,1,"Porifera","Poecilosclerida","Microcionidae","Clathria","Clathria (Thalysias) procera","Demospongiae",NA,NA,NA,NA,"Eastern Brazil"
"4023",1017056,1017056,840234,"Species","Goniopsyllus rostratus","Brady, 1883",346510,2,1,"Arthropoda","Harpacticoida","Peltidiidae","Goniopsyllus","Goniopsyllus rostratus",NA,NA,NA,NA,NA,"Eastern Brazil"
"4024",1017156,742769,742769,"Subspecies","Conus cancellatus cancellatus","Hwass in Bruguière, 1792",715843,4,1,"Mollusca","Neogastropoda","Conidae","Conus","Conus cancellatus","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4025",1017185,1017185,770328,"Species","Corallophila kleiwegii","Weber-van Bosse, 1923",371485,6,1,"Rhodophyta","Ceramiales","Ceramiaceae","Corallophila","Corallophila kleiwegii","Florideophyceae",NA,NA,NA,NA,"Eastern Brazil"
"4026",1017205,1017205,769209,"Species","Ditrichocorycaeus amazonicus","(Dahl F., 1894)",358326,2,1,"Arthropoda","Poecilostomatoida","Corycaeidae","Ditrichocorycaeus","Ditrichocorycaeus amazonicus",NA,NA,NA,NA,NA,"Eastern Brazil"
