"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"58",408772,408772,408771,"Subspecies","Auxis thazard thazard","(Lacepède, 1800)",293552,2,2,"Chordata","Perciformes","Scombridae","Auxis","Auxis thazard","Actinopteri",NA,NA,NA,NA,"Cortezian"
"59",408790,408790,739386,"Species","Avocettina bowersii","(Garman, 1899)",271904,1,1,"Chordata","Anguilliformes","Nemichthyidae","Avocettina","Avocettina bowersii","Actinopteri",NA,NA,NA,NA,"Cortezian"
"60",408927,408927,776222,"Species","Axoclinus lucillae","Fowler, 1944",279847,1,1,"Chordata","Perciformes","Tripterygiidae","Axoclinus","Axoclinus lucillae","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"61",408929,408929,776222,"Species","Axoclinus nigricaudus","Allen & Robertson, 1991",279849,37,3,"Chordata","Perciformes","Tripterygiidae","Axoclinus","Axoclinus nigricaudus","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"62",409201,409201,409200,"Species","Bairdiella armata","Gill, 1863",276068,2,1,"Chordata","Perciformes","Sciaenidae","Bairdiella","Bairdiella armata","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"63",409206,409206,409200,"Species","Bairdiella icistia","(Jordan & Gilbert, 1882)",276071,42,3,"Chordata","Perciformes","Sciaenidae","Bairdiella","Bairdiella icistia","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"64",409235,409235,739484,"Species","Balaenoptera borealis","Lesson, 1828",137088,1,1,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera borealis","Mammalia",TRUE,"EN",NA,NA,"Cortezian"
"65",409238,409238,739484,"Species","Balaenoptera musculus","(Linnaeus, 1758)",137090,1652,5,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Mammalia",TRUE,"EN",NA,NA,"Cortezian"
"66",409240,409240,739484,"Species","Balaenoptera physalus","(Linnaeus, 1758)",137091,1352,9,"Chordata","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus","Mammalia",TRUE,"EN",NA,NA,"Cortezian"
"67",409267,409267,409257,"Species","Balanophyllia cedrosensis","Durham, 1947",286908,2,1,"Cnidaria","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia cedrosensis","Anthozoa",NA,NA,NA,NA,"Cortezian"
"68",410112,410112,410103,"Species","Bascanichthys panamensis","Meek & Hildebrand, 1923",275460,3,2,"Chordata","Anguilliformes","Ophichthidae","Bascanichthys","Bascanichthys panamensis","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"69",410207,410207,739619,"Species","Bathophilus filifer","(Garman, 1899)",275045,4,2,"Chordata","Stomiiformes","Stomiidae","Bathophilus","Bathophilus filifer","Actinopteri",NA,NA,NA,NA,"Cortezian"
"70",410327,410327,605638,"Species","Bathyconchoecia deeveyae","Kornicker, 1970",127752,2,2,"Arthropoda","Halocyprida","Halocyprididae","Bathyconchoecia","Bathyconchoecia deeveyae","Ostracoda",NA,NA,NA,NA,"Cortezian"
"71",410328,410328,605638,"Species","Bathyconchoecia paulula","Deevey, 1968",127762,7,2,"Arthropoda","Halocyprida","Halocyprididae","Bathyconchoecia","Bathyconchoecia paulula","Ostracoda",NA,NA,NA,NA,"Cortezian"
"72",410461,410461,777782,"Species","Bathykurila guaymasensis","Pettibone, 1989",333092,7,2,"Annelida","Phyllodocida","Polynoidae","Bathykurila","Bathykurila guaymasensis","Polychaeta",NA,NA,NA,NA,"Cortezian"
"73",410806,410806,739716,"Species","Bathyraja trachura","(Gilbert, 1892)",271538,1,1,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja trachura","Elasmobranchii",TRUE,"LC",NA,NA,"Cortezian"
"74",411021,411021,768185,"Species","Beella digitata","(Brady, 1879)",113433,2,1,"Foraminifera","Globigerinida","Globigerinidae","Beella","Beella digitata","Globothalamea",NA,NA,NA,NA,"Cortezian"
"75",411391,411391,695978,"Species","Benthosema panamense","(Tåning, 1932)",272648,6,1,"Chordata","Myctophiformes","Myctophidae","Benthosema","Benthosema panamense","Actinopteri",NA,NA,NA,NA,"Cortezian"
"76",411392,411392,695978,"Species","Benthosema pterotum","(Alcock, 1890)",217680,5,1,"Chordata","Myctophiformes","Myctophidae","Benthosema","Benthosema pterotum","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"77",411463,411463,411459,"Species","Berthella stellata","(Risso, 1826)",140814,1,1,"Mollusca","Pleurobranchomorpha","Pleurobranchidae","Berthella","Berthella stellata","Gastropoda",NA,NA,NA,NA,"Cortezian"
"78",411466,411466,494101,"Genus","Berthellina","Gardiner, 1936",138362,1,1,"Mollusca","Pleurobranchomorpha","Pleurobranchidae","Berthellina",NA,"Gastropoda",NA,NA,NA,NA,"Cortezian"
"79",411724,411724,774762,"Species","Biflustra savartii","(Audouin, 1826)",396712,1,1,"Bryozoa","Cheilostomatida","Membraniporidae","Biflustra","Biflustra savartii","Gymnolaemata",NA,NA,NA,NA,"Cortezian"
"80",412201,412201,739991,"Species","Bollmannia macropoma","Gilbert, 1892",279934,13,3,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia macropoma","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"81",412202,412202,739991,"Species","Bollmannia marginalis","Ginsburg, 1939",279935,10,2,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia marginalis","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"82",412203,412203,739991,"Species","Bollmannia ocellata","Gilbert, 1892",279936,32,3,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia ocellata","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"83",412204,412204,739991,"Species","Bollmannia stigmatura","Gilbert, 1892",279938,12,3,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia stigmatura","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"84",412205,412205,739991,"Species","Bollmannia umbrosa","Ginsburg, 1939",279939,7,1,"Chordata","Perciformes","Gobiidae","Bollmannia","Bollmannia umbrosa","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"85",412538,412538,696023,"Species","Bothus constellatus","(Jordan, 1889)",274183,7,2,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus constellatus","Actinopteri",NA,NA,NA,NA,"Cortezian"
"86",412548,412548,696023,"Species","Bothus pantherinus","(Rüppell, 1830)",219795,2,1,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus pantherinus","Actinopteri",NA,NA,NA,NA,"Cortezian"
"87",412549,412549,696023,"Species","Bothus podas","(Delaroche, 1809)",127129,1,1,"Chordata","Pleuronectiformes","Bothidae","Bothus","Bothus podas","Actinopteri",NA,NA,NA,NA,"Cortezian"
"88",412777,412777,738303,"Phylum","Brachiopoda","Duméril, 1805",1803,1,1,"Brachiopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cortezian"
"89",413008,413008,795892,"Species","Branchinotogluma hessleri","Pettibone, 1985",327273,5,2,"Annelida","Phyllodocida","Polynoidae","Branchinotogluma","Branchinotogluma hessleri","Polychaeta",NA,NA,NA,NA,"Cortezian"
"90",413009,413009,795892,"Species","Branchinotogluma sandersi","Pettibone, 1985",327274,8,2,"Annelida","Phyllodocida","Polynoidae","Branchinotogluma","Branchinotogluma sandersi","Polychaeta",NA,NA,NA,NA,"Cortezian"
"91",413063,413063,777788,"Species","Branchiplicatus cupreus","Pettibone, 1985",327291,7,2,"Annelida","Phyllodocida","Polynoidae","Branchiplicatus","Branchiplicatus cupreus","Polychaeta",NA,NA,NA,NA,"Cortezian"
"92",413237,413237,413236,"Species","Brissus latecarinatus","(Leske, 1778)",213575,3,1,"Echinodermata","Spatangoida","Brissidae","Brissus","Brissus latecarinatus","Echinoidea",NA,NA,NA,NA,"Cortezian"
"93",413498,413498,413495,"Species","Bubaris vermiculata","(Bowerbank, 1866)",132521,1,1,"Porifera","Bubarida","Bubaridae","Bubaris","Bubaris vermiculata","Demospongiae",NA,NA,NA,NA,"Cortezian"
"94",413893,413893,413876,"Species","Bursa granularis","(Röding, 1798)",216964,1,1,"Mollusca","Littorinimorpha","Bursidae","Bursa","Bursa granularis","Gastropoda",NA,NA,NA,NA,"Cortezian"
"95",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,311,1,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",NA,NA,NA,NA,"Cortezian"
"96",414626,414626,414622,"Genus","Caligus","O.F. Müller, 1785",135566,1,1,"Arthropoda","Siphonostomatoida","Caligidae","Caligus",NA,NA,NA,NA,NA,NA,"Cortezian"
"97",414704,414704,740540,"Species","Callechelys cliffi","Böhlke & Briggs, 1954",275465,3,1,"Chordata","Anguilliformes","Ophichthidae","Callechelys","Callechelys cliffi","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"98",414705,414705,740540,"Species","Callechelys eristigma","McCosker & Rosenblatt, 1972",275466,11,3,"Chordata","Anguilliformes","Ophichthidae","Callechelys","Callechelys eristigma","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"99",415568,415568,415566,"Species","Calotomus carolinus","(Valenciennes, 1840)",219076,2,1,"Chordata","Perciformes","Scaridae","Calotomus","Calotomus carolinus","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"100",416282,416282,416280,"Species","Cantherhines dumerilii","(Hollard, 1854)",276248,5,1,"Chordata","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines dumerilii","Actinopteri",NA,NA,NA,NA,"Cortezian"
"101",416381,416381,740848,"Genus","Capitella","Blainville, 1828",129211,2,1,"Annelida",NA,"Capitellidae","Capitella",NA,"Polychaeta",NA,NA,NA,NA,"Cortezian"
"102",416445,416445,780126,"Genus","Caprella","Lamarck, 1801",101430,1,1,"Arthropoda","Amphipoda","Caprellidae","Caprella",NA,"Malacostraca",NA,NA,NA,NA,"Cortezian"
"103",416659,416659,696227,"Species","Caranx lugubris","Poey, 1860",126805,3,1,"Chordata","Perciformes","Carangidae","Caranx","Caranx lugubris","Actinopteri",NA,NA,NA,NA,"Cortezian"
"104",416686,416686,696227,"Species","Caranx vinctus","Jordan & Gilbert, 1882",273275,41,3,"Chordata","Perciformes","Carangidae","Caranx","Caranx vinctus","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"105",416695,416695,740892,"Species","Carapus dubius","(Putnam, 1874)",272778,29,3,"Chordata","Ophidiiformes","Carapidae","Carapus","Carapus dubius","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"106",416732,416732,696240,"Species","Carcharhinus albimarginatus","(Rüppell, 1837)",217352,7,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus","Elasmobranchii",TRUE,"NT",NA,NA,"Cortezian"
"107",416738,416738,696240,"Species","Carcharhinus brachyurus","(Günther, 1870)",217341,12,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus brachyurus","Elasmobranchii",TRUE,"NT",NA,NA,"Cortezian"
"108",416747,416747,696240,"Species","Carcharhinus galapagensis","(Snodgrass & Heller, 1905)",105790,5,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus galapagensis","Elasmobranchii",TRUE,"NT",NA,NA,"Cortezian"
"109",416756,416756,696240,"Species","Carcharhinus longimanus","(Poey, 1861)",105794,4,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus longimanus","Elasmobranchii",TRUE,"VU",NA,NA,"Cortezian"
"110",416762,416762,696240,"Species","Carcharhinus obscurus","(Lesueur, 1818)",105796,9,1,"Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","Elasmobranchii",TRUE,"VU",NA,NA,"Cortezian"
"111",417558,417558,741102,"Species","Cathorops fuerthii","(Steindachner, 1877)",280043,1,1,"Chordata","Siluriformes","Ariidae","Cathorops","Cathorops fuerthii","Actinopteri",TRUE,"DD",NA,NA,"Cortezian"
"112",417566,417566,771569,"Genus","Catillopecten","Iredale, 1939",196008,1,1,"Mollusca","Pectinoida","Propeamussiidae","Catillopecten",NA,"Bivalvia",NA,NA,NA,NA,"Cortezian"
"113",417583,417583,741109,"Genus","Catostomus","Lesueur, 1817",158705,1,1,"Chordata","Cypriniformes","Catostomidae","Catostomus",NA,"Actinopteri",NA,NA,NA,NA,"Cortezian"
"114",417877,417877,742089,"Genus","Caulleriella","Chamberlin, 1919",129241,5,1,"Annelida","Terebellida","Cirratulidae","Caulleriella",NA,"Polychaeta",NA,NA,NA,NA,"Cortezian"
"115",417941,417941,769180,"Genus","Cavernulina","Kükenthal & Broch, 1911",206748,4,2,"Cnidaria","Pennatulacea","Veretillidae","Cavernulina",NA,"Anthozoa",NA,NA,NA,NA,"Cortezian"
"116",418177,418177,741262,"Species","Centroceras clavulatum","(C.Agardh) Montagne, 1846",144531,1,1,"Rhodophyta","Ceramiales","Ceramiaceae","Centroceras","Centroceras clavulatum","Florideophyceae",NA,NA,NA,NA,"Cortezian"
"117",418289,418289,741280,"Species","Centropomus unionensis","Bocourt, 1868",280069,5,2,"Chordata","Perciformes","Centropomidae","Centropomus","Centropomus unionensis","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"118",418414,418414,418406,"Species","Cephalopholis cruentata","(Lacepède, 1802)",279146,2,1,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis cruentata","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"119",418430,418430,418406,"Species","Cephalopholis panamensis","(Steindachner, 1877)",279152,102,5,"Chordata","Perciformes","Serranidae","Cephalopholis","Cephalopholis panamensis","Actinopteri",TRUE,"LC",NA,NA,"Cortezian"
"120",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,16,1,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,NA,NA,"Cortezian"
"121",418458,418458,418450,"Species","Cephaloscyllium ventriosum","(Garman, 1880)",277105,5,1,"Chordata","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","Cephaloscyllium ventriosum","Elasmobranchii",TRUE,"LC",NA,NA,"Cortezian"
"122",418470,418470,741305,"Species","Cephalurus cephalus","(Gilbert, 1892)",280077,2,2,"Chordata","Carcharhiniformes","Pentanchidae","Cephalurus","Cephalurus cephalus","Elasmobranchii",TRUE,"DD",NA,NA,"Cortezian"
