"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"70",438369,438369,768317,"Species","Emiliania huxleyi","(Lohmann) W.W.Hay & H.P.Mohler, 1967",115104,15,1,"Haptophyta","Isochrysidales","Noelaerhabdaceae","Emiliania","Emiliania huxleyi","Prymnesiophyceae",NA,NA,"Chiloense"
"71",438968,438968,835612,"Genus","Entalophora","Lamouroux, 1821",173986,1,1,"Bryozoa","Cyclostomatida","Entalophoridae","Entalophora",NA,"Stenolaemata",NA,NA,"Chiloense"
"72",440176,440176,799828,"Genus","Errina","Gray, 1835",117242,2,2,"Cnidaria","Anthoathecata","Stylasteridae","Errina",NA,"Hydrozoa",NA,NA,"Chiloense"
"73",440813,440813,771685,"Species","Eubalaena australis","(Desmoulins, 1822)",220222,92,1,"Chordata","Cetartiodactyla","Balaenidae","Eubalaena","Eubalaena australis","Mammalia",TRUE,"LC","Chiloense"
"74",440855,440855,440854,"Genus","Eucalanus","Dana, 1852",104171,3,1,"Arthropoda","Calanoida","Eucalanidae","Eucalanus",NA,NA,NA,NA,"Chiloense"
"75",442005,442005,697444,"Species","Euphausia lucens","Hansen, 1905",221055,1,1,"Arthropoda","Euphausiacea","Euphausiidae","Euphausia","Euphausia lucens","Malacostraca",NA,NA,"Chiloense"
"76",442532,442532,772501,"Family","Eusiridae","Stebbing, 1888",101380,2,1,"Arthropoda","Amphipoda","Eusiridae",NA,NA,"Malacostraca",NA,NA,"Chiloense"
"77",443091,443091,443151,"Genus","Exogone","Örsted, 1845",129654,4,1,"Annelida","Phyllodocida","Syllidae","Exogone",NA,"Polychaeta",NA,NA,"Chiloense"
"78",443362,443362,423702,"Genus","Farrania","Sars G.O., 1920",104163,1,1,"Arthropoda","Calanoida","Clausocalanidae","Farrania",NA,NA,NA,NA,"Chiloense"
"79",443610,443610,768177,"Species","Favulina hexagona","(Williamson, 1848)",113193,7,1,"Foraminifera","Lagenida","Ellipsolagenidae","Favulina","Favulina hexagona","Foraminifera incertae sedis",NA,NA,"Chiloense"
"80",443683,443683,471445,"Genus","Fenestrulina","Jullien, 1888",110941,1,1,"Bryozoa","Cheilostomatida","Microporellidae","Fenestrulina",NA,"Gymnolaemata",NA,NA,"Chiloense"
"81",443932,443932,1011429,"Genus","Fissurina","Reuss, 1850",112154,26,2,"Foraminifera","Lagenida","Ellipsolagenidae","Fissurina",NA,"Foraminifera incertae sedis",NA,NA,"Chiloense"
"82",445111,445111,398634,"Genus","Gaetanus","Giesbrecht, 1888",104121,4,1,"Arthropoda","Calanoida","Aetideidae","Gaetanus",NA,NA,NA,NA,"Chiloense"
"83",445309,445309,746567,"Species","Galaxias platei","Steindachner, 1898",280812,8,2,"Chordata","Osmeriformes","Galaxiidae","Galaxias","Galaxias platei","Actinopteri",NA,NA,"Chiloense"
"84",446254,446254,446252,"Species","Gephyrocapsa oceanica","Kamptner, 1943",235955,14,1,"Haptophyta","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Gephyrocapsa oceanica","Prymnesiophyceae",NA,NA,"Chiloense"
"85",446726,446726,629011,"Species","Globicephala melas","(Traill, 1809)",137097,1,1,"Chordata","Cetartiodactyla","Delphinidae","Globicephala","Globicephala melas","Mammalia",TRUE,"DD","Chiloense"
