"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"18",401495,401495,695484,"Species","Amphiroa beauvoisii","J.V.Lamouroux, 1816",145097,1,1,"Rhodophyta","Corallinales","Corallinaceae","Amphiroa","Amphiroa beauvoisii","Florideophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"19",401531,401531,401526,"Species","Amphisbetia operculata","(Linnaeus, 1758)",117874,2,1,"Cnidaria","Leptothecata","Sertulariidae","Amphisbetia","Amphisbetia operculata","Hydrozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"20",401633,401633,401717,"Genus","Amphiura","Forbes, 1843",123613,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura",NA,"Ophiuroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"21",401664,401664,401633,"Species","Amphiura belgicae","Koehler, 1900",173102,1,1,"Echinodermata","Ophiurida","Amphiuridae","Amphiura","Amphiura belgicae","Ophiuroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"22",402593,402593,695543,"Species","Anchoa marinii","Hildebrand, 1943",275525,2,1,"Chordata","Clupeiformes","Engraulidae","Anchoa","Anchoa marinii","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"23",403275,403275,738353,"Species","Anoplogaster cornuta","(Valenciennes, 1833)",126393,1,1,"Chordata","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster cornuta","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"24",403684,403684,771628,"Species","Antholoba achates","(Drayton in Dana, 1846)",287436,6,3,"Cnidaria","Actiniaria","Actinostolidae","Antholoba","Antholoba achates","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"25",403796,403796,738435,"Species","Anthothoe chilensis","(Lesson, 1830)",289437,20,4,"Cnidaria","Actiniaria","Sagartiidae","Anthothoe","Anthothoe chilensis","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"26",404623,404623,695645,"Species","Aplysia fasciata","Poiret, 1789",138755,1,1,"Mollusca","Anaspidea","Aplysiidae","Aplysia","Aplysia fasciata","Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"27",405267,405267,772275,"Genus","Arachnopusia","Jullien, 1888",172883,4,2,"Bryozoa","Cheilostomatida","Arachnopusiidae","Arachnopusia",NA,"Gymnolaemata",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"28",405677,405677,405674,"Species","Arctocephalus gazella","(Peters, 1875)",231404,61,1,"Chordata","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella","Mammalia",TRUE,"LC",NA,"Uruguay-Buenos Aires Shelf"
"29",406123,406123,739686,"Genus","Ariosoma","Swainson, 1838",125622,9,1,"Chordata","Anguilliformes","Congridae","Ariosoma",NA,"Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"30",406129,406129,406123,"Species","Ariosoma balearicum","(Delaroche, 1809)",126283,2,2,"Chordata","Anguilliformes","Congridae","Ariosoma","Ariosoma balearicum","Actinopteri",TRUE,"LC",NA,"Uruguay-Buenos Aires Shelf"
"31",406470,406470,774934,"Species","Artemesia longinaris","Spence Bate, 1888",246225,14,3,"Arthropoda","Decapoda","Penaeidae","Artemesia","Artemesia longinaris","Malacostraca",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"32",407074,407074,407058,"Species","Asterina stellifera","(Möbius, 1859)",177952,1,1,"Echinodermata","Valvatida","Asterinidae","Asterina","Asterina stellifera","Asteroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"33",407555,407555,768196,"Species","Astrononion echolsi","Kennett, 1967",113549,1,1,"Foraminifera","Rotaliida","Nonionidae","Astrononion","Astrononion echolsi","Globothalamea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"34",407569,407569,695787,"Species","Astropecten brasiliensis","Müller & Troschel, 1842",178647,1,1,"Echinodermata","Paxillosida","Astropectinidae","Astropecten","Astropecten brasiliensis","Asteroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"35",407573,407573,695787,"Species","Astropecten cingulatus","Sladen, 1883",178648,5,1,"Echinodermata","Paxillosida","Astropectinidae","Astropecten","Astropecten cingulatus","Asteroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"36",407639,407639,407637,"Species","Astroscopus sexspinosus","(Steindachner, 1876)",275975,3,1,"Chordata","Perciformes","Uranoscopidae","Astroscopus","Astroscopus sexspinosus","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"37",408004,408004,776208,"Species","Atlantoraja castelnaui","(Miranda Ribeiro, 1907)",279816,19,3,"Chordata","Rajiformes","Arhynchobatidae","Atlantoraja","Atlantoraja castelnaui","Elasmobranchii",TRUE,"EN",NA,"Uruguay-Buenos Aires Shelf"
"38",408005,408005,776208,"Species","Atlantoraja cyclophora","(Regan, 1903)",279817,18,5,"Chordata","Rajiformes","Arhynchobatidae","Atlantoraja","Atlantoraja cyclophora","Elasmobranchii",TRUE,"VU",NA,"Uruguay-Buenos Aires Shelf"
"39",408006,408006,776208,"Species","Atlantoraja platana","(Günther, 1880)",279818,7,4,"Chordata","Rajiformes","Arhynchobatidae","Atlantoraja","Atlantoraja platana","Elasmobranchii",TRUE,"VU",NA,"Uruguay-Buenos Aires Shelf"
"40",408012,408012,408007,"Species","Atolla wyvillei","Haeckel, 1880",135282,1,1,"Cnidaria","Coronatae","Atollidae","Atolla","Atolla wyvillei","Scyphozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"41",408335,408335,737358,"Genus","Aulactinia","Agassiz in Verrill, 1864",100697,1,1,"Cnidaria","Actiniaria","Actiniidae","Aulactinia",NA,"Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"42",408340,408340,408335,"Species","Aulactinia marplatensis","(Zamponi, 1977)",283378,63,4,"Cnidaria","Actiniaria","Actiniidae","Aulactinia","Aulactinia marplatensis","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"43",408472,408472,604355,"Species","Aurelia aurita","(Linnaeus, 1758)",135306,1,1,"Cnidaria","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita","Scyphozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"44",408519,408519,769341,"Species","Aurospio dibranchiata","Maciolek, 1981",131110,3,1,"Annelida","Spionida","Spionidae","Aurospio","Aurospio dibranchiata","Polychaeta",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"45",408659,408659,776220,"Species","Austrolycus laticinctus","(Berg, 1895)",279844,1,1,"Chordata","Perciformes","Zoarcidae","Austrolycus","Austrolycus laticinctus","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"46",408681,408681,775779,"Species","Austroneophellia luciae","Zamponi, 1978",289491,5,2,"Cnidaria","Actiniaria","Isanthidae","Austroneophellia","Austroneophellia luciae","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"47",408772,408772,408771,"Subspecies","Auxis thazard thazard","(Lacepède, 1800)",293552,1,1,"Chordata","Perciformes","Scombridae","Auxis","Auxis thazard","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"48",408939,408939,739417,"Genus","Axonolaimus","de Man, 1889",2416,1,1,"Nematoda","Araeolaimida","Axonolaimidae","Axonolaimus",NA,"Chromadorea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"49",409074,409074,770414,"Species","Bachelotia antillarum","(Grunow) Gerloff, 1959",145481,1,1,"Ochrophyta","Scytothamnales","Bachelotiaceae","Bachelotia","Bachelotia antillarum","Phaeophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"50",409376,409376,604839,"Species","Balanus glandula","Darwin, 1854",394848,14,1,"Arthropoda","Sessilia","Balanidae","Balanus","Balanus glandula",NA,NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"51",410147,410147,776227,"Species","Bassanago albescens","(Barnard, 1923)",313889,12,3,"Chordata","Anguilliformes","Congridae","Bassanago","Bassanago albescens","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"52",410258,410258,405587,"Genus","Bathyarca","Kobelt, 1891",137673,1,1,"Mollusca","Arcoida","Arcidae","Bathyarca",NA,"Bivalvia",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"53",410290,410290,410289,"Species","Bathybiaster loripes","Sladen, 1889",172715,5,1,"Echinodermata","Paxillosida","Astropectinidae","Bathybiaster","Bathybiaster loripes","Asteroidea",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"54",410500,410500,605725,"Species","Bathylagus tenuis","Kobyliansky, 1986",234673,1,1,"Chordata","Osmeriformes","Bathylagidae","Bathylagus","Bathylagus tenuis","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"55",410764,410764,739716,"Species","Bathyraja albomaculata","(Norman, 1937)",271505,14,3,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja albomaculata","Elasmobranchii",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"56",410766,410766,739716,"Species","Bathyraja brachyurops","(Fowler, 1910)",271509,34,5,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja brachyurops","Elasmobranchii",TRUE,"LC",NA,"Uruguay-Buenos Aires Shelf"
"57",410771,410771,739716,"Species","Bathyraja griseocauda","(Norman, 1937)",234586,13,2,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja griseocauda","Elasmobranchii",TRUE,"EN",NA,"Uruguay-Buenos Aires Shelf"
"58",410781,410781,739716,"Species","Bathyraja macloviana","(Norman, 1937)",271519,17,4,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja macloviana","Elasmobranchii",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"59",410783,410783,739716,"Species","Bathyraja magellanica","(Philippi, 1902)",271521,1,1,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja magellanica","Elasmobranchii",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"60",410789,410789,739716,"Species","Bathyraja multispinis","(Norman, 1937)",271525,2,1,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja multispinis","Elasmobranchii",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
