"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"112",415871,415871,609164,"Species","Campylaspis rubicunda","(Liljeborg, 1855)",110555,2,1,"Arthropoda","Cumacea","Nannastacidae","Campylaspis","Campylaspis rubicunda","Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"113",416162,416162,609426,"Species","Candacia armata","Boeck, 1872",104474,1,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia armata",NA,NA,NA,NA,NA,"Northern Labrador"
"114",416382,416382,416381,"Species","Capitella capitata","(Fabricius, 1780)",129876,20,3,"Annelida",NA,"Capitellidae","Capitella","Capitella capitata","Polychaeta",NA,NA,NA,NA,"Northern Labrador"
"115",416445,416445,780126,"Genus","Caprella","Lamarck, 1801",101430,6,1,"Arthropoda","Amphipoda","Caprellidae","Caprella",NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"116",416494,416494,763741,"Family","Caprellidae","Leach, 1814",101361,31,1,"Arthropoda","Amphipoda","Caprellidae",NA,NA,"Malacostraca",NA,NA,NA,NA,"Northern Labrador"
"117",417030,417030,696262,"Species","Careproctus reinhardti","(Krøyer, 1862)",127212,82,3,"Chordata","Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti","Actinopteri",NA,NA,NA,NA,"Northern Labrador"
"118",418105,418105,418087,"Species","Celleporina ventricosa","(Lorenz, 1886)",111279,1,1,"Bryozoa","Cheilostomatida","Celleporidae","Celleporina","Celleporina ventricosa","Gymnolaemata",NA,NA,NA,NA,"Northern Labrador"
"119",418226,418226,741274,"Genus","Centropages","Krøyer, 1849",104159,5,1,"Arthropoda","Calanoida","Centropagidae","Centropages",NA,NA,NA,NA,NA,NA,"Northern Labrador"
"120",418349,418349,741288,"Species","Centroscyllium fabricii","(Reinhardt, 1825)",105906,160,5,"Chordata","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium fabricii","Elasmobranchii",TRUE,"LC",NA,NA,"Northern Labrador"
"121",418357,418357,418356,"Species","Centroscymnus coelolepis","Barbosa du Bocage & de Brito Capello, 1864",105907,1,1,"Chordata","Squaliformes","Somniosidae","Centroscymnus","Centroscymnus coelolepis","Elasmobranchii",TRUE,"NT",NA,NA,"Northern Labrador"
"122",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",11707,112,3,"Mollusca",NA,NA,NA,NA,"Cephalopoda",NA,NA,NA,NA,"Northern Labrador"
"123",418487,418487,418484,"Species","Cepphus grylle","(Linnaeus, 1758)",137130,226,3,"Chordata","Charadriiformes","Alcidae","Cepphus","Cepphus grylle","Aves",TRUE,"LC",NA,NA,"Northern Labrador"
"124",418507,418507,696347,"Species","Ceramaster granularis","(Retzius, 1783)",124020,45,2,"Echinodermata","Valvatida","Goniasteridae","Ceramaster","Ceramaster granularis","Asteroidea",NA,NA,NA,NA,"Northern Labrador"
