"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"1649",666175,666175,666156,"Species","Sapphirina stellata","Giesbrecht, 1891",129060,2,1,"Arthropoda","Poecilostomatoida","Sapphirinidae","Sapphirina","Sapphirina stellata",NA,NA,NA,NA,NA,"Northeastern Brazil"
"1650",666324,666324,506058,"Species","Sargassum hystrix","J.Agardh, 1847",373201,1,1,"Ochrophyta","Fucales","Sargassaceae","Sargassum","Sargassum hystrix","Phaeophyceae",NA,NA,NA,NA,"Northeastern Brazil"
"1651",666790,666790,769011,"Species","Scartella cristata","(Linnaeus, 1758)",126782,7,3,"Chordata","Perciformes","Blenniidae","Scartella","Scartella cristata","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1652",667389,667389,758817,"Species","Scomberomorus cavalla","(Cuvier, 1829)",159340,9,3,"Chordata","Perciformes","Scombridae","Scomberomorus","Scomberomorus cavalla","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1653",667397,667397,758817,"Species","Scomberomorus regalis","(Bloch, 1793)",273819,3,1,"Chordata","Perciformes","Scombridae","Scomberomorus","Scomberomorus regalis","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1654",667457,667457,758838,"Species","Scorpaena brasiliensis","Cuvier, 1829",159562,5,3,"Chordata","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena brasiliensis","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1655",667468,667468,758838,"Species","Scorpaena isthmensis","Meek & Hildebrand, 1928",274718,2,2,"Chordata","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena isthmensis","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1656",667471,667471,758838,"Species","Scorpaena melasma","Eschmeyer, 1965",274722,1,1,"Chordata","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena melasma","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1657",667480,667480,758838,"Species","Scorpaena plumieri","Bloch, 1789",159564,11,3,"Chordata","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena plumieri","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1658",667490,667490,700418,"Species","Scorpaenodes caribbaeus","Meek & Hildebrand, 1928",274743,4,1,"Chordata","Scorpaeniformes","Scorpaenidae","Scorpaenodes","Scorpaenodes caribbaeus","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1659",667619,667619,508434,"Species","Scyllarus chacei","Holthuis, 1960",382969,1,1,"Arthropoda","Decapoda","Scyllaridae","Scyllarus","Scyllarus chacei","Malacostraca",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1660",667847,667847,758956,"Species","Selar crumenophthalmus","(Bloch, 1793)",159646,1,1,"Chordata","Perciformes","Carangidae","Selar","Selar crumenophthalmus","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1661",667860,667860,758969,"Species","Selene vomer","(Linnaeus, 1758)",159649,9,3,"Chordata","Perciformes","Carangidae","Selene","Selene vomer","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1662",668127,668127,779960,"Species","Sergio mirim","(Rodrigues, 1966)",477774,1,1,"Arthropoda","Decapoda","Callianassidae","Sergio","Sergio mirim","Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
"1663",668449,668449,700521,"Species","Sicyonia laevigata","Stimpson, 1871",377637,2,2,"Arthropoda","Decapoda","Sicyoniidae","Sicyonia","Sicyonia laevigata","Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
"1664",668486,668486,759208,"Species","Siderastrea stellata","Verrill, 1868",430680,4,3,"Cnidaria","Scleractinia","Siderastreidae","Siderastrea","Siderastrea stellata","Anthozoa",TRUE,"DD",NA,NA,"Northeastern Brazil"
"1665",669445,669445,511794,"Species","Sphaeroma annandalei","Stebbing",220728,2,2,"Arthropoda","Isopoda","Sphaeromatidae","Sphaeroma","Sphaeroma annandalei","Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
"1666",669465,669465,511794,"Species","Sphaeroma terebrans","Bate, 1866",257081,4,2,"Arthropoda","Isopoda","Sphaeromatidae","Sphaeroma","Sphaeroma terebrans","Malacostraca",NA,NA,NA,NA,"Northeastern Brazil"
"1667",669502,669502,443151,"Genus","Sphaerosyllis","Claparède, 1863",129677,16,1,"Annelida","Phyllodocida","Syllidae","Sphaerosyllis",NA,"Polychaeta",NA,NA,NA,NA,"Northeastern Brazil"
"1668",669533,669533,669529,"Species","Sphenia fragilis","(H. Adams & A. Adams, 1854)",420973,2,1,"Mollusca","Myoida","Myidae","Sphenia","Sphenia fragilis","Bivalvia",NA,NA,NA,NA,"Northeastern Brazil"
"1669",669593,669593,512010,"Species","Sphoeroides spengleri","(Bloch, 1785)",158935,19,5,"Chordata","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides spengleri","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1670",669594,669594,512010,"Species","Sphoeroides testudineus","(Linnaeus, 1758)",158936,28,3,"Chordata","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides testudineus","Actinopteri",TRUE,"LC",NA,NA,"Northeastern Brazil"
"1671",669609,669609,759716,"Species","Sphyraena guachancho","Cuvier, 1829",159814,1,1,"Chordata","Perciformes","Sphyraenidae","Sphyraena","Sphyraena guachancho","Actinopteri",NA,NA,NA,NA,"Northeastern Brazil"
"1672",669623,669623,512110,"Genus","Sphyrna","Rafinesque, 1810",105730,5,1,"Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna",NA,"Elasmobranchii",NA,NA,NA,NA,"Northeastern Brazil"
"1673",669771,669771,509465,"Genus","Spirobranchus","Blainville, 1818",129582,1,1,"Annelida","Sabellida","Serpulidae","Spirobranchus",NA,"Polychaeta",NA,NA,NA,NA,"Northeastern Brazil"
