"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","redlist","status","species","hab","gisd","ecoregion"
"1033",761728,761728,761727,"Genus","Trachycardium","Mörch, 1853",203976,1,1,"Mollusca","Cardiida","Cardiidae","Trachycardium","Bivalvia",NA,NA,NA,NA,NA,"Rio Grande"
"1034",761834,761834,1029836,"Genus","Trichomycterus","Valenciennes, 1832",271141,2,1,"Chordata","Siluriformes","Trichomycteridae","Trichomycterus","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1035",762428,762428,1028916,"Genus","Tyttocharax","Fowler, 1913",271188,1,1,"Chordata","Characiformes","Characidae","Tyttocharax","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1036",762483,762483,523639,"Species","Umbellosphaera irregularis","Paasche, 1955",235982,2,1,"Haptophyta",NA,"Umbellosphaeraceae","Umbellosphaera","Haptophyta incertae sedis",NA,NA,"Umbellosphaera irregularis",NA,NA,"Rio Grande"
"1037",762486,762486,523657,"Species","Umbilicosphaera sibogae","(Weber-van Bosse) Gaarder, 1970",235985,4,1,"Haptophyta","Coccolithales","Calcidiscaceae","Umbilicosphaera","Prymnesiophyceae",NA,NA,"Umbilicosphaera sibogae",NA,NA,"Rio Grande"
"1038",762777,762777,755667,"Genus","Vicinguerria",NA,126194,3,1,"Chordata","Stomiiformes","Phosichthyidae","Vicinguerria","Actinopterygii",NA,NA,NA,NA,NA,"Rio Grande"
"1039",763403,763403,490657,"Species","Phalacrocorax brasilianus","(Gmelin, 1789)",343939,1,1,"Chordata","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Aves",TRUE,"LC","Phalacrocorax brasilianus",NA,NA,"Rio Grande"
"1040",763974,763974,562313,"Species","Phormidium nigroviride","(Thwaites ex Gomont) Anagnostidis & Komárek, 1988",146699,1,1,"Cyanobacteria","Oscillatoriales","Phormidiaceae","Phormidium","Cyanophyceae",NA,NA,"Phormidium nigroviride",NA,NA,"Rio Grande"
"1041",764087,764087,430911,"Genus","Livoneca","Leach, 1818",203846,1,1,"Arthropoda","Isopoda","Cymothoidae","Livoneca","Malacostraca",NA,NA,NA,NA,NA,"Rio Grande"
"1042",764592,764592,500679,"Species","Psilaster herwigi","(Bernasconi, 1972)",178716,1,1,"Echinodermata","Paxillosida","Astropectinidae","Psilaster","Asteroidea",NA,NA,"Psilaster herwigi",NA,NA,"Rio Grande"
"1043",764680,764680,779365,"Species","Trigonulina ornata","d'Orbigny, 1853",403948,4,1,"Mollusca",NA,"Verticordiidae","Trigonulina","Bivalvia",NA,NA,"Trigonulina ornata",NA,NA,"Rio Grande"
"1044",764687,764687,779364,"Species","Spinosipella acuticostata","(Philippi, 1844)",403944,1,1,"Mollusca",NA,"Verticordiidae","Spinosipella","Bivalvia",NA,NA,"Spinosipella acuticostata",NA,NA,"Rio Grande"
"1045",764749,764749,778059,"Species","Paradentalium infractum","(Odhner, 1931)",344528,8,1,"Mollusca","Dentaliida","Dentaliidae","Paradentalium","Scaphopoda",NA,NA,"Paradentalium infractum",NA,NA,"Rio Grande"
"1046",765593,765593,778544,"Species","Geitlerinema amphibium","(C.Agardh ex Gomont) Anagnostidis, 1989",366599,1,1,"Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Geitlerinema","Cyanophyceae",NA,NA,"Geitlerinema amphibium",NA,NA,"Rio Grande"
"1047",765694,765694,770835,"Species","Acartia (Acartia) negligens","Dana, 1849",346030,1,1,"Arthropoda","Calanoida","Acartiidae","Acartia",NA,NA,NA,"Acartia (Acartia) negligens",NA,NA,"Rio Grande"
"1048",765703,765703,770835,"Species","Acartia (Acartia) danae","Giesbrecht, 1889",346026,4,1,"Arthropoda","Calanoida","Acartiidae","Acartia",NA,NA,NA,"Acartia (Acartia) danae",NA,NA,"Rio Grande"
"1049",765763,765763,770838,"Species","Acartia (Acanthacartia) tonsa","Dana, 1849",345943,2,1,"Arthropoda","Calanoida","Acartiidae","Acartia",NA,NA,NA,"Acartia (Acanthacartia) tonsa",NA,NA,"Rio Grande"
"1050",765934,765934,772074,"Species","Tedania (Tedaniopsis) vanhoeffeni","Hentschel, 1914",169603,1,1,"Porifera","Poecilosclerida","Tedaniidae","Tedania","Demospongiae",NA,NA,"Tedania (Tedaniopsis) vanhoeffeni",NA,NA,"Rio Grande"
"1051",766074,766074,770555,"Species","Planktolyngbya limnetica","(Lemmermann) Komárková-Legnerová & Cronberg, 1992",177576,1,1,"Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Planktolyngbya","Cyanophyceae",NA,NA,"Planktolyngbya limnetica",NA,NA,"Rio Grande"
"1052",767640,767640,780459,"Genus","Carcharias","Rafinesque, 1810",105746,7,1,"Chordata","Lamniformes","Odontaspididae","Carcharias","Elasmobranchii",NA,NA,NA,NA,NA,"Rio Grande"
"1053",767824,767824,792856,"Genus","Parthenope","Weber, 1795",106916,1,1,"Arthropoda","Decapoda","Parthenopidae","Parthenope","Malacostraca",NA,NA,NA,NA,NA,"Rio Grande"
"1054",770527,770527,770538,"Genus","Aphanocapsa","Nägeli, 1849",146562,1,1,"Cyanobacteria","Synechococcales","Merismopediaceae","Aphanocapsa","Cyanophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1055",770528,770528,1014043,"Genus","Gomphosphaeria","Kützing, 1836",146570,1,1,"Cyanobacteria","Chroococcales","Gomphosphaeriaceae","Gomphosphaeria","Cyanophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1056",770533,770533,770532,"Genus","Anabaenopsis","V.V.Miller, 1923",146590,1,1,"Cyanobacteria","Nostocales","Nostocaceae","Anabaenopsis","Cyanophyceae",NA,NA,NA,TRUE,NA,"Rio Grande"
"1057",770545,770545,780816,"Genus","Snowella","Elenkin, 1938",146644,1,1,"Cyanobacteria","Synechococcales","Merismopediaceae","Snowella","Cyanophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1058",770758,770758,780870,"Genus","Aulacoseira","Thwaites, 1848",148959,1,1,"Ochrophyta","Aulacoseirales","Aulacoseiraceae","Aulacoseira","Bacillariophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1059",771807,771807,848157,"Genus","Monoraphidium","Komárková-Legnerová, 1969",160590,1,1,"Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","Chlorophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1060",771897,771897,848157,"Genus","Kirchneriella","Schmidle, 1893",163108,1,1,"Chlorophyta","Sphaeropleales","Selenastraceae","Kirchneriella","Chlorophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1061",772588,772588,772585,"Genus","Pseudanabaena","Lauterborn, 1915",177588,1,1,"Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Cyanophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1062",772628,772628,771806,"Genus","Lagerheimia","R.Chodat, 1895",178609,1,1,"Chlorophyta","Oocystales","Oocystaceae","Lagerheimia","Trebouxiophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1063",772659,772659,781173,"Genus","Tetraedron","Kützing, 1845",178949,1,1,"Chlorophyta","Sphaeropleales","Hydrodictyaceae","Tetraedron","Chlorophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1064",774532,774532,781457,"Genus","Helicosphaera","Kamptner, 1954",235863,3,1,"Haptophyta","Zygodiscales","Helicosphaeraceae","Helicosphaera","Prymnesiophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1065",774572,774572,755860,"Genus","Pinguipes","Cuvier, 1829",236484,46,1,"Chordata","Perciformes","Pinguipedidae","Pinguipes","Actinopteri",NA,NA,NA,NA,NA,"Rio Grande"
"1066",782427,782427,793372,"Species","Acantholobulus bermudensis","(Benedict & Rathbun, 1891)",422072,31,1,"Arthropoda","Decapoda","Panopeidae","Acantholobulus","Malacostraca",NA,NA,"Acantholobulus bermudensis",NA,NA,"Rio Grande"
"1067",782877,782877,794144,"Species","Athene cunicularia","(Molina, 1782)",422611,1,1,"Chordata","Strigiformes","Strigidae","Athene","Aves",TRUE,"LC","Athene cunicularia",NA,NA,"Rio Grande"
"1068",783247,783247,793911,"Species","Caribachlamys sentis","(Reeve, 1853)",393711,2,1,"Mollusca","Pectinoida","Pectinidae","Caribachlamys","Bivalvia",NA,NA,"Caribachlamys sentis",NA,NA,"Rio Grande"
"1069",783469,783469,794210,"Species","Chloroceryle americana","(Gmelin, 1788)",422617,1,1,"Chordata","Coraciiformes","Alcedinidae","Chloroceryle","Aves",TRUE,"LC","Chloroceryle americana",NA,NA,"Rio Grande"
"1070",783657,783657,844196,"Species","Columbina talpacoti","Temminck",NA,1,1,"Chordata","Columbiformes","Columbidae","Columbina","Aves",TRUE,"LC","Columbina talpacoti",NA,NA,"Rio Grande"
"1071",785670,785670,793980,"Species","Longchaeus suturalis","(H. C. Lea, 1843)",420463,1,1,"Mollusca","Heterobranchia incertae sedis","Pyramidellidae","Longchaeus","Gastropoda",NA,NA,"Longchaeus suturalis",NA,NA,"Rio Grande"
"1072",785821,785821,467426,"Genus","Magelona","F. Müller, 1858",129341,3,1,"Annelida","Spionida","Magelonidae","Magelona","Polychaeta",NA,NA,NA,NA,NA,"Rio Grande"
"1073",786427,786427,474364,"Species","Myliobatis freminvillei","Lesueur, 1824",399783,6,2,"Chordata","Myliobatiformes","Myliobatidae","Myliobatis","Elasmobranchii",NA,NA,"Myliobatis freminvillei",NA,NA,"Rio Grande"
"1074",787398,787398,793544,"Species","Phaetusa simplex","(Gmelin, 1789)",344102,1,1,"Chordata","Charadriiformes","Laridae","Phaetusa","Aves",TRUE,"LC","Phaetusa simplex",NA,NA,"Rio Grande"
"1075",787508,787508,817189,"Species","Pitangus sulphuratus","Linnaeus",NA,1,1,"Chordata","Passeriformes","Tyrannidae","Pitangus","Aves",TRUE,"LC","Pitangus sulphuratus",NA,TRUE,"Rio Grande"
"1076",789462,789462,793942,"Species","Trichocoleus tenerrimus","(Gomont) Anagnostidis, 2001",417048,6,1,"Cyanobacteria","Oscillatoriales","Schizotrichaceae","Trichocoleus","Cyanophyceae",NA,NA,"Trichocoleus tenerrimus",NA,NA,"Rio Grande"
"1077",789671,789671,792966,"Species","Uca (Leptuca) uruguayensis","Nobili, 1901",378368,8,1,"Arthropoda","Decapoda","Ocypodidae","Uca","Malacostraca",NA,NA,"Uca (Leptuca) uruguayensis",NA,NA,"Rio Grande"
"1078",789913,789913,677895,"Species","Vitreolina arcuata","(C. B. Adams, 1850)",419859,1,1,"Mollusca","Littorinimorpha","Eulimidae","Vitreolina","Gastropoda",NA,NA,"Vitreolina arcuata",NA,NA,"Rio Grande"
"1079",790152,790152,768485,"Species","Liriope tetraphylla","(Chamisso & Eysenhardt, 1821)",117568,3,1,"Cnidaria","Trachymedusae","Geryoniidae","Liriope","Hydrozoa",NA,NA,"Liriope tetraphylla",NA,NA,"Rio Grande"
"1080",790314,790314,794133,"Species","Pseudomalaxis zanclaeus","(Philippi, 1844)",138774,1,1,"Mollusca","Heterobranchia incertae sedis","Architectonicidae","Pseudomalaxis","Gastropoda",NA,NA,"Pseudomalaxis zanclaeus",NA,NA,"Rio Grande"
"1081",790401,790401,427258,"Species","Corymorpha gracilis","(Brooks, 1883)",292179,1,1,"Cnidaria","Anthoathecata","Corymorphidae","Corymorpha","Hydrozoa",NA,NA,"Corymorpha gracilis",NA,NA,"Rio Grande"
"1082",793126,793126,770532,"Genus","Aphanizomenon","A.Morren ex Bornet & Flahault, 1888",160567,1,1,"Cyanobacteria","Nostocales","Nostocaceae","Aphanizomenon","Cyanophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1083",795209,795209,519282,"Species","Thoracosphaera heimii","(Lohmann) Kamptner, 1944",110277,4,1,"Myzozoa","Thoracosphaerales","Thoracosphaeraceae","Thoracosphaera","Dinophyceae",NA,NA,"Thoracosphaera heimii",NA,NA,"Rio Grande"
"1084",795530,795530,773871,"Species","Gayralia oxysperma","(Kützing) K.L.Vinogradova ex Scagel <i>et al.</i>, 1989",214368,6,1,"Chlorophyta","Ulvales","Gayraliaceae","Gayralia","Ulvophyceae",NA,NA,"Gayralia oxysperma",NA,NA,"Rio Grande"
"1085",797091,797091,779899,"Species","Mysouffa cumingii","(A. Adams, 1855)",420516,1,1,"Mollusca","Heterobranchia incertae sedis","Acteonidae","Mysouffa","Gastropoda",NA,NA,"Mysouffa cumingii",NA,NA,"Rio Grande"
"1086",798255,798255,698302,"Species","Limatula deceptionensis","Preston, 1916",197226,2,1,"Mollusca","Limoida","Limidae","Limatula","Bivalvia",NA,NA,"Limatula deceptionensis",NA,NA,"Rio Grande"
"1087",798400,798400,425627,"Species","Compressidens pressus","(Sharp & Pilsbry, 1897)",421014,2,1,"Mollusca","Gadilida","Gadilida incertae sedis","Compressidens","Scaphopoda",NA,NA,"Compressidens pressus",NA,NA,"Rio Grande"
"1088",804803,804803,806485,"Species","Parasquilla (Parasquilla) boschii","Manning, 1970",409159,1,1,"Arthropoda","Stomatopoda","Parasquillidae","Parasquilla","Malacostraca",NA,NA,"Parasquilla (Parasquilla) boschii",NA,NA,"Rio Grande"
"1089",804820,804820,806722,"Subspecies","Flabellum (Ulocyathus) apertum apertum","Moseley, 1876",286998,1,1,"Cnidaria","Scleractinia","Flabellidae","Flabellum","Anthozoa",NA,NA,"Flabellum (Ulocyathus) apertum",NA,NA,"Rio Grande"
"1090",806722,806722,805829,"Species","Flabellum (Ulocyathus) apertum","Moseley, 1876",346424,10,3,"Cnidaria","Scleractinia","Flabellidae","Flabellum","Anthozoa",NA,NA,"Flabellum (Ulocyathus) apertum",NA,NA,"Rio Grande"
"1091",814807,814807,671544,"Species","Suberites caminatus","Ridley & Dendy, 1886",134273,1,1,"Porifera","Suberitida","Suberitidae","Suberites","Demospongiae",NA,NA,"Suberites caminatus",NA,NA,"Rio Grande"
"1092",815369,815369,770842,"Species","Diacyclops michaelseni","(Mrázek, 1901)",358199,1,1,"Arthropoda","Cyclopoida","Cyclopidae","Diacyclops",NA,NA,NA,"Diacyclops michaelseni",NA,NA,"Rio Grande"
"1093",815681,815681,432121,"Subspecies","Daphnia longispina galeata","Sars",NA,1,1,"Arthropoda","Diplostraca","Daphniidae","Daphnia","Branchiopoda",NA,NA,"Daphnia longispina",NA,NA,"Rio Grande"
"1094",820746,820746,757787,"Genus","Cymathium",NA,NA,1,1,"Mollusca","Littorinimorpha","Ranellidae","Cymathium","Gastropoda",NA,NA,NA,NA,NA,"Rio Grande"
"1095",825282,825282,836211,"Genus","Calciodinellum","Deflandre, 1947",109533,1,1,"Myzozoa","Peridiniales","Peridiniaceae","Calciodinellum","Dinophyceae",NA,NA,NA,NA,NA,"Rio Grande"
"1096",825773,825773,446252,"Species","Gephyrocapsa muellerae","Bréhéret, 1978",341588,2,2,"Haptophyta","Isochrysidales","Noelaerhabdaceae","Gephyrocapsa","Prymnesiophyceae",NA,NA,"Gephyrocapsa muellerae",NA,NA,"Rio Grande"
"1097",825954,825954,825282,"Species","Calciodinellum albatrosianum","(Kamptner) Janofske & Karwath, 2000",233839,2,1,"Myzozoa","Peridiniales","Peridiniaceae","Calciodinellum","Dinophyceae",NA,NA,"Calciodinellum albatrosianum",NA,NA,"Rio Grande"
"1098",826113,826113,825282,"Species","Calciodinellum elongatum","(T.Hildebrand-Habel, H.Willems & G.J.M.Versteegh) Meier, Janofske & Willems, 2002",233838,1,1,"Myzozoa","Peridiniales","Peridiniaceae","Calciodinellum","Dinophyceae",NA,NA,"Calciodinellum elongatum",NA,NA,"Rio Grande"
