"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"187",667847,667847,758956,"Species","Selar crumenophthalmus","(Bloch, 1793)",159646,2,1,"Chordata","Perciformes","Carangidae","Selar","Selar crumenophthalmus","Actinopteri",NA,NA,NA,"Clipperton"
"188",670306,670306,513102,"Species","Stegastes baldwini","Allen & Woods, 1980",276664,11,5,"Chordata","Perciformes","Pomacentridae","Stegastes","Stegastes baldwini","Actinopteri",TRUE,"NT",NA,"Clipperton"
"189",671594,671594,760496,"Species","Sufflamen verres","(Gilbert & Starks, 1904)",276853,5,2,"Chordata","Tetraodontiformes","Balistidae","Sufflamen","Sufflamen verres","Actinopteri",TRUE,"LC",NA,"Clipperton"
"190",674162,674162,519480,"Species","Thunnus albacares","(Bonnaterre, 1788)",127027,1,1,"Chordata","Perciformes","Scombridae","Thunnus","Thunnus albacares","Actinopteri",TRUE,"NT",NA,"Clipperton"
"191",677845,677845,755667,"Genus","Vinciguerria","Jordan & Evermann, 1896",126194,1,1,"Chordata","Stomiiformes","Phosichthyidae","Vinciguerria",NA,"Actinopteri",NA,NA,NA,"Clipperton"
"192",678187,678187,525733,"Species","Xanthichthys mento","(Jordan & Gilbert, 1882)",276247,1,1,"Chordata","Tetraodontiformes","Balistidae","Xanthichthys","Xanthichthys mento","Actinopteri",TRUE,"LC",NA,"Clipperton"
"193",695223,695223,695219,"Species","Abudefduf troschelii","(Gill, 1862)",273702,1,1,"Chordata","Perciformes","Pomacentridae","Abudefduf","Abudefduf troschelii","Actinopteri",TRUE,"LC",NA,"Clipperton"
"194",695260,695260,396214,"Species","Acanthurus nigricans","(Linnaeus, 1758)",219638,6,2,"Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus nigricans","Actinopteri",TRUE,"LC",NA,"Clipperton"
"195",695261,695261,396214,"Species","Acanthurus triostegus","(Linnaeus, 1758)",219630,7,2,"Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus triostegus","Actinopteri",TRUE,"LC",NA,"Clipperton"
"196",695262,695262,396214,"Species","Acanthurus xanthopterus","Valenciennes, 1835",219634,1,1,"Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus","Actinopteri",TRUE,"LC",NA,"Clipperton"
"197",695834,695834,408463,"Species","Aulostomus chinensis","(Linnaeus, 1766)",217964,3,2,"Chordata","Syngnathiformes","Aulostomidae","Aulostomus","Aulostomus chinensis","Actinopteri",TRUE,"LC",NA,"Clipperton"
