"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"27",396813,396813,396804,"Species","Acipenser oxyrinchus","Mitchill, 1815",151802,1,1,"Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus","Actinopteri",TRUE,"NT",NA,NA,"Scotian Shelf"
"28",397561,397561,748410,"Genus","Actinauge","Verrill, 1883",100750,1,1,"Cnidaria","Actiniaria","Hormathiidae","Actinauge",NA,"Anthozoa",NA,NA,NA,NA,"Scotian Shelf"
"29",397568,397568,397561,"Species","Actinauge longicornis","(Verrill, 1882)",158212,2,2,"Cnidaria","Actiniaria","Hormathiidae","Actinauge","Actinauge longicornis","Anthozoa",NA,NA,NA,NA,"Scotian Shelf"
"30",397605,397605,695303,"Species","Actinernus nobilis","Verrill, 1879",158217,9,2,"Cnidaria","Actiniaria","Actinernidae","Actinernus","Actinernus nobilis","Anthozoa",NA,NA,NA,NA,"Scotian Shelf"
"31",397861,397861,767920,"Species","Actiniscus pentasterias","(Ehrenberg) Ehrenberg, 1844",109717,4,1,"Myzozoa","Actiniscales","Actiniscaceae","Actiniscus","Actiniscus pentasterias","Dinophyceae",NA,NA,NA,NA,"Scotian Shelf"
"32",398029,398029,770756,"Genus","Actinoptychus","Ehrenberg, 1843",148947,3,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus",NA,"Bacillariophyceae",NA,NA,NA,NA,"Scotian Shelf"
"33",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,14,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",NA,NA,NA,NA,"Scotian Shelf"
"34",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,142,3,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,NA,NA,"Scotian Shelf"
"35",398412,398412,398391,"Species","Aega psora","(Linnaeus, 1758)",118827,10,2,"Arthropoda","Isopoda","Aegidae","Aega","Aega psora","Malacostraca",NA,NA,NA,NA,"Scotian Shelf"
"36",398463,398463,398462,"Species","Aeginina aenigmatica","Laubitz, 1972",158158,1,1,"Arthropoda","Amphipoda","Caprellidae","Aeginina","Aeginina aenigmatica","Malacostraca",NA,NA,NA,NA,"Scotian Shelf"
