"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","ecoregion"
"63",410766,410766,739716,"Species","Bathyraja brachyurops","(Fowler, 1910)",271509,79,7,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja brachyurops","Elasmobranchii",TRUE,"LC",NA,"Malvinas_Falklands"
"64",410771,410771,739716,"Species","Bathyraja griseocauda","(Norman, 1937)",234586,39,5,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja griseocauda","Elasmobranchii",TRUE,"EN",NA,"Malvinas_Falklands"
"65",410781,410781,739716,"Species","Bathyraja macloviana","(Norman, 1937)",271519,30,6,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja macloviana","Elasmobranchii",NA,NA,NA,"Malvinas_Falklands"
"66",410783,410783,739716,"Species","Bathyraja magellanica","(Philippi, 1902)",271521,22,2,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja magellanica","Elasmobranchii",NA,NA,NA,"Malvinas_Falklands"
"67",410789,410789,739716,"Species","Bathyraja multispinis","(Norman, 1937)",271525,17,4,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja multispinis","Elasmobranchii",NA,NA,NA,"Malvinas_Falklands"
"68",410798,410798,739716,"Species","Bathyraja scaphiops","(Norman, 1937)",271531,32,3,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja scaphiops","Elasmobranchii",TRUE,"NT",NA,"Malvinas_Falklands"
"69",410855,410855,605946,"Species","Bathyteuthis abyssicola","Hoyle, 1885",138848,4,1,"Mollusca","Decapodiformes incertae sedis","Bathyteuthidae","Bathyteuthis","Bathyteuthis abyssicola","Cephalopoda",TRUE,"LC",NA,"Malvinas_Falklands"
"70",410981,410981,410970,"Species","Beania magellanica","(Busk, 1852)",111071,24,2,"Bryozoa","Cheilostomatida","Beaniidae","Beania","Beania magellanica","Gymnolaemata",NA,NA,NA,"Malvinas_Falklands"
"71",411021,411021,768185,"Species","Beella digitata","(Brady, 1879)",113433,1,1,"Foraminifera","Globigerinida","Globigerinidae","Beella","Beella digitata","Globothalamea",NA,NA,NA,"Malvinas_Falklands"
"72",411582,411582,768089,"Species","Bicrisia biciliata","(MacGillivray, 1869)",173958,1,1,"Bryozoa","Cyclostomatida","Crisiidae","Bicrisia","Bicrisia biciliata","Stenolaemata",NA,NA,NA,"Malvinas_Falklands"
"73",411695,411695,1032079,"Genus","Biemna","Gray, 1867",131897,1,1,"Porifera","Biemnida","Biemnidae","Biemna",NA,"Demospongiae",NA,NA,NA,"Malvinas_Falklands"
"74",412172,412172,606664,"Species","Bolivina pseudoplicata","Heron-Allen & Earland, 1930",112982,6,1,"Foraminifera","Rotaliida","Bolivinitidae","Bolivina","Bolivina pseudoplicata","Globothalamea",NA,NA,NA,"Malvinas_Falklands"
